# Start of simulation: Mon Mar 21 18:00:46 2016
beta,acc,obs
0.1,0.550135,6.12536
0.1,0.547895,6.09461
0.1,0.545915,6.12871
0.104,0.54498,6.11603
0.104,0.54253,6.09081
0.104,0.546125,6.13052
0.10816,0.54304,6.11604
0.10816,0.54368,6.11008
0.10816,0.542735,6.11173
0.112486,0.542395,6.11229
0.112486,0.543205,6.10672
0.112486,0.541935,6.12124
0.116986,0.540815,6.12853
0.116986,0.540085,6.11989
0.116986,0.54103,6.10842
0.121665,0.537845,6.1183
0.121665,0.538115,6.11044
0.121665,0.537905,6.1442
0.126532,0.538325,6.11734
0.126532,0.53698,6.126
0.126532,0.5352,6.11454
0.131593,0.534755,6.12523
0.131593,0.535695,6.14388
0.131593,0.536405,6.13927
0.136857,0.530235,6.13307
0.136857,0.53298,6.13041
0.136857,0.53059,6.10879
0.142331,0.532375,6.1294
0.142331,0.535925,6.1313
0.142331,0.530085,6.11131
0.148024,0.528665,6.12154
0.148024,0.531985,6.15505
0.148024,0.530845,6.11638
0.153945,0.5272,6.12208
0.153945,0.530085,6.15635
0.153945,0.52773,6.12425
0.160103,0.52671,6.12785
0.160103,0.526525,6.14534
0.160103,0.525575,6.13097
0.166507,0.52608,6.12991
0.166507,0.52215,6.11943
0.166507,0.526495,6.13947
0.173168,0.522135,6.1273
0.173168,0.52078,6.12567
0.173168,0.5204,6.13268
0.180094,0.521325,6.12589
0.180094,0.51976,6.12588
0.180094,0.52275,6.14329
0.187298,0.51886,6.12517
0.187298,0.51954,6.13074
0.187298,0.52043,6.11927
0.19479,0.516805,6.11153
0.19479,0.51597,6.1293
0.19479,0.51615,6.13363
0.202582,0.5151,6.12891
0.202582,0.515235,6.13737
0.202582,0.51129,6.10817
0.210685,0.51402,6.12015
0.210685,0.51375,6.12884
0.210685,0.513735,6.11905
0.219112,0.51097,6.13523
0.219112,0.51159,6.11198
0.219112,0.510105,6.12762
0.227877,0.50806,6.1312
0.227877,0.508505,6.10255
0.227877,0.508035,6.12388
0.236992,0.50939,6.12004
0.236992,0.508705,6.13967
0.236992,0.506955,6.13603
0.246472,0.5039,6.11256
0.246472,0.507365,6.12822
0.246472,0.5082,6.15326
0.25633,0.50342,6.14421
0.25633,0.502685,6.14143
0.25633,0.5043,6.15081
0.266584,0.502405,6.13444
0.266584,0.50101,6.12921
0.266584,0.50213,6.12772
0.277247,0.498495,6.12316
0.277247,0.4996,6.14322
0.277247,0.50046,6.13507
0.288337,0.4989,6.13163
0.288337,0.49807,6.15277
0.288337,0.49896,6.1455
0.29987,0.49643,6.15437
0.29987,0.495125,6.13976
0.29987,0.494675,6.1391
0.311865,0.49577,6.14078
0.311865,0.49384,6.14354
0.311865,0.49367,6.15363
0.32434,0.491915,6.13447
0.32434,0.493425,6.14787
0.32434,0.492625,6.11378
0.337313,0.48935,6.10776
0.337313,0.488715,6.11494
0.337313,0.490425,6.1508
0.350806,0.48917,6.1104
0.350806,0.486955,6.13352
0.350806,0.489055,6.14168
0.364838,0.486065,6.12445
0.364838,0.48659,6.12905
0.364838,0.486295,6.14683
0.379432,0.484515,6.14248
0.379432,0.48402,6.13991
0.379432,0.48468,6.15356
0.394609,0.480635,6.11086
0.394609,0.483205,6.13893
0.394609,0.485465,6.1412
0.410393,0.480975,6.13402
0.410393,0.478725,6.13709
0.410393,0.480525,6.13049
0.426809,0.478605,6.12797
0.426809,0.47948,6.14011
0.426809,0.477255,6.13134
0.443881,0.47552,6.1435
0.443881,0.47556,6.13953
0.443881,0.477925,6.15053
0.461637,0.473325,6.13121
0.461637,0.47381,6.13334
0.461637,0.472685,6.14531
0.480102,0.474565,6.14718
0.480102,0.471575,6.12794
0.480102,0.47046,6.13666
0.499306,0.473255,6.13401
0.499306,0.469475,6.12452
0.499306,0.47212,6.16957
0.519278,0.46887,6.12213
0.519278,0.467325,6.12991
0.519278,0.46725,6.14197
0.54005,0.46708,6.15538
0.54005,0.466025,6.12586
0.54005,0.465415,6.11589
0.561652,0.464975,6.13791
0.561652,0.46438,6.13651
0.561652,0.465705,6.1584
0.584118,0.462005,6.12414
0.584118,0.463995,6.13479
0.584118,0.46416,6.14943
0.607482,0.46006,6.1301
0.607482,0.461715,6.15359
0.607482,0.460525,6.15776
0.631782,0.45602,6.13687
0.631782,0.458655,6.14851
0.631782,0.45686,6.13413
0.657053,0.456565,6.15836
0.657053,0.45723,6.15251
0.657053,0.456845,6.13685
0.683335,0.450775,6.1397
0.683335,0.453475,6.14162
0.683335,0.45065,6.12512
0.710668,0.452555,6.1498
0.710668,0.450155,6.13254
0.710668,0.449935,6.13107
0.739095,0.44954,6.13513
0.739095,0.45081,6.13291
0.739095,0.447705,6.14142
0.768659,0.446605,6.11211
0.768659,0.441885,6.10546
0.768659,0.44423,6.13026
0.799405,0.44219,6.12825
