# Start of simulation: Mon Mar 21 17:10:51 2016
beta,acc,obs
0.1,0.5491,6.13084
0.1,0.54671,6.12448
0.1,0.54722,6.13504
0.104,0.547645,6.11855
0.104,0.545425,6.12594
0.104,0.5453,6.09218
0.10816,0.54451,6.14624
0.10816,0.544015,6.10611
0.10816,0.54513,6.09459
0.112486,0.541945,6.10995
0.112486,0.543355,6.12288
0.112486,0.540235,6.10548
0.116986,0.544065,6.144
0.116986,0.539955,6.1122
0.116986,0.53713,6.11071
0.121665,0.536515,6.12394
0.121665,0.53937,6.11186
0.121665,0.538865,6.12956
0.126532,0.535735,6.13508
0.126532,0.538185,6.12247
0.126532,0.53623,6.11803
0.131593,0.533245,6.12369
0.131593,0.533305,6.12962
0.131593,0.532525,6.10553
0.136857,0.533145,6.13034
0.136857,0.53556,6.12751
0.136857,0.5338,6.11349
0.142331,0.532115,6.1267
0.142331,0.53331,6.13521
0.142331,0.53293,6.1438
0.148024,0.530735,6.12585
0.148024,0.52888,6.13427
0.148024,0.528875,6.11736
0.153945,0.52719,6.12985
0.153945,0.527745,6.10827
0.153945,0.528475,6.1469
0.160103,0.52629,6.10905
0.160103,0.52491,6.11323
0.160103,0.52627,6.13785
0.166507,0.52156,6.13128
0.166507,0.52366,6.14896
0.166507,0.52421,6.13876
0.173168,0.52562,6.13698
0.173168,0.52289,6.13302
0.173168,0.524625,6.14309
0.180094,0.51993,6.11689
0.180094,0.521535,6.1283
0.180094,0.52034,6.12573
0.187298,0.52051,6.14736
0.187298,0.51886,6.15059
0.187298,0.51807,6.13123
0.19479,0.515195,6.12552
0.19479,0.517815,6.15455
0.19479,0.518615,6.10828
0.202582,0.516185,6.13272
0.202582,0.515405,6.14033
0.202582,0.51542,6.12597
0.210685,0.51075,6.11229
0.210685,0.5132,6.13703
0.210685,0.51166,6.13883
0.219112,0.5119,6.13233
0.219112,0.512135,6.12454
0.219112,0.51221,6.14583
0.227877,0.510405,6.14611
0.227877,0.50987,6.13653
0.227877,0.50733,6.13309
0.236992,0.506805,6.13305
0.236992,0.504925,6.12864
0.236992,0.50866,6.14127
0.246472,0.504655,6.15962
0.246472,0.505135,6.13078
0.246472,0.505205,6.14737
0.25633,0.504465,6.16662
0.25633,0.505405,6.14768
0.25633,0.50393,6.1431
0.266584,0.499275,6.106
0.266584,0.49998,6.151
0.266584,0.502105,6.12083
0.277247,0.499755,6.13862
0.277247,0.502275,6.17
0.277247,0.49928,6.12026
0.288337,0.49876,6.13654
0.288337,0.49904,6.13909
0.288337,0.50177,6.13483
0.29987,0.49326,6.13381
0.29987,0.497105,6.13999
0.29987,0.49666,6.14835
0.311865,0.49423,6.13421
0.311865,0.49476,6.14005
0.311865,0.494925,6.16213
0.32434,0.49119,6.12846
0.32434,0.492005,6.12599
0.32434,0.490925,6.12435
0.337313,0.48903,6.12753
0.337313,0.491195,6.14634
0.337313,0.489625,6.13776
0.350806,0.48925,6.14376
0.350806,0.488965,6.12628
0.350806,0.48884,6.14074
0.364838,0.48694,6.12825
0.364838,0.4869,6.13873
0.364838,0.48656,6.14241
0.379432,0.480235,6.11852
0.379432,0.48385,6.12036
0.379432,0.484955,6.12953
0.394609,0.484225,6.13543
0.394609,0.484625,6.15541
0.394609,0.484925,6.15907
0.410393,0.47926,6.13772
0.410393,0.48211,6.13899
0.410393,0.4802,6.14291
0.426809,0.478745,6.13897
0.426809,0.476165,6.12021
0.426809,0.48081,6.14103
0.443881,0.478055,6.1584
0.443881,0.47551,6.13283
0.443881,0.475265,6.1302
0.461637,0.47434,6.13442
0.461637,0.474485,6.14338
0.461637,0.474805,6.11909
0.480102,0.474165,6.13753
0.480102,0.47178,6.12958
0.480102,0.47338,6.15952
0.499306,0.47305,6.14525
0.499306,0.46777,6.13834
0.499306,0.469145,6.13185
0.519278,0.470535,6.14409
0.519278,0.46619,6.13831
0.519278,0.4674,6.12595
0.54005,0.46541,6.13191
0.54005,0.46566,6.12249
0.54005,0.46523,6.13716
0.561652,0.46245,6.11536
0.561652,0.461525,6.11478
0.561652,0.46517,6.12104
0.584118,0.4612,6.1394
0.584118,0.462135,6.15047
0.584118,0.461015,6.12914
0.607482,0.45897,6.12672
0.607482,0.456675,6.11456
0.607482,0.460925,6.12807
0.631782,0.453505,6.11881
0.631782,0.4572,6.125
0.631782,0.45787,6.12199
0.657053,0.456135,6.13396
0.657053,0.45591,6.13388
0.657053,0.45303,6.13253
0.683335,0.45545,6.13459
0.683335,0.452975,6.10936
0.683335,0.453205,6.12174
0.710668,0.451515,6.13687
0.710668,0.448035,6.12159
0.710668,0.453005,6.13408
0.739095,0.44786,6.13886
0.739095,0.447935,6.13419
0.739095,0.446835,6.11168
0.768659,0.448055,6.12991
0.768659,0.445005,6.1303
0.768659,0.44739,6.14261
0.799405,0.444075,6.12935
0.799405,0.44355,6.13033
0.799405,0.44238,6.12615
0.831381,0.44113,6.11866
0.831381,0.44197,6.12317
0.831381,0.44128,6.13438
0.864637,0.43974,6.13515
0.864637,0.438785,6.10774
0.864637,0.43726,6.12688
0.899222,0.435715,6.13125
0.899222,0.43635,6.12206
0.899222,0.43622,6.12269
0.935191,0.4364,6.11445
0.935191,0.43439,6.12804
0.935191,0.434555,6.11766
0.972599,0.43182,6.12424
0.972599,0.428105,6.12123
0.972599,0.432795,6.11956
1.0115,0.43114,6.12319
1.0115,0.4283,6.09423
1.0115,0.43104,6.15894
1.05196,0.423395,6.09216
1.05196,0.427085,6.08913
1.05196,0.42503,6.1121
1.09404,0.425945,6.13296
1.09404,0.42543,6.1128
1.09404,0.42364,6.11809
1.1378,0.42122,6.08253
1.1378,0.42337,6.11902
1.1378,0.42211,6.13088
1.18332,0.419785,6.10021
1.18332,0.41933,6.1015
1.18332,0.41984,6.10423
1.23065,0.42026,6.10658
1.23065,0.41469,6.09851
1.23065,0.417975,6.1027
1.27987,0.4156,6.08334
1.27987,0.4165,6.10968
1.27987,0.413615,6.09851
1.33107,0.41252,6.07896
1.33107,0.412985,6.09035
1.33107,0.415415,6.12555
1.38431,0.408705,6.09516
1.38431,0.412625,6.10338
1.38431,0.412345,6.09213
1.43968,0.406365,6.07947
1.43968,0.406005,6.08744
1.43968,0.40961,6.09291
1.49727,0.40548,6.08712
1.49727,0.40348,6.07529
1.49727,0.40627,6.09109
1.55716,0.403115,6.07574
1.55716,0.40471,6.07024
1.55716,0.40372,6.09501
1.61945,0.40244,6.07411
1.61945,0.397755,6.05021
1.61945,0.40231,6.08824
1.68423,0.399285,6.09676
1.68423,0.39833,6.06517
1.68423,0.39722,6.09134
1.7516,0.39253,6.07135
1.7516,0.395095,6.07725
1.7516,0.395835,6.08708
1.82166,0.39412,6.0689
1.82166,0.392545,6.06949
1.82166,0.395095,6.09038
1.89453,0.39196,6.06584
1.89453,0.39032,6.05919
