# Start of simulation: Mon Mar 21 16:49:52 2016
beta,acc,obs
0.1,0.5484,6.11305
0.1,0.545775,6.12153
0.1,0.546945,6.1163
0.104,0.546385,6.12173
0.104,0.5439,6.1137
0.104,0.54624,6.13519
0.10816,0.544545,6.11381
0.10816,0.542295,6.11121
0.10816,0.543945,6.1088
0.112486,0.54321,6.12829
0.112486,0.542035,6.12896
0.112486,0.541165,6.12596
0.116986,0.538215,6.09919
0.116986,0.540625,6.11544
0.116986,0.539015,6.12037
0.121665,0.53915,6.133
0.121665,0.539345,6.13138
0.121665,0.540615,6.15661
0.126532,0.535665,6.12693
0.126532,0.53853,6.12307
0.126532,0.533905,6.12069
0.131593,0.53436,6.10874
0.131593,0.53214,6.10562
0.131593,0.536475,6.12983
0.136857,0.53312,6.1236
0.136857,0.532925,6.13808
0.136857,0.53345,6.13193
0.142331,0.53035,6.11813
0.142331,0.52893,6.10709
0.142331,0.531835,6.1247
0.148024,0.528885,6.11482
0.148024,0.52651,6.12337
0.148024,0.52814,6.10911
0.153945,0.52635,6.10954
0.153945,0.528065,6.13054
0.153945,0.526075,6.12856
0.160103,0.52393,6.11442
0.160103,0.52483,6.11756
0.160103,0.52626,6.13111
0.166507,0.524205,6.11526
0.166507,0.52405,6.11546
0.166507,0.52233,6.13232
0.173168,0.52467,6.1599
0.173168,0.52126,6.1245
0.173168,0.523925,6.14077
0.180094,0.523015,6.15989
0.180094,0.521435,6.14385
0.180094,0.520065,6.11936
0.187298,0.51482,6.12553
0.187298,0.519575,6.14389
0.187298,0.520455,6.1513
0.19479,0.514565,6.12862
0.19479,0.51569,6.10947
0.19479,0.51762,6.12808
0.202582,0.51636,6.14316
0.202582,0.514225,6.15319
0.202582,0.51526,6.13639
0.210685,0.511345,6.13998
0.210685,0.510155,6.10435
0.210685,0.513105,6.12087
0.219112,0.51164,6.13257
0.219112,0.51099,6.11307
0.219112,0.51223,6.11717
0.227877,0.50942,6.12612
0.227877,0.511575,6.14511
0.227877,0.509975,6.13336
0.236992,0.5046,6.12982
0.236992,0.508165,6.12604
0.236992,0.510725,6.15952
0.246472,0.50537,6.13628
0.246472,0.505685,6.15796
0.246472,0.50608,6.12657
0.25633,0.5052,6.15478
0.25633,0.507695,6.14338
0.25633,0.504825,6.13807
0.266584,0.50158,6.13327
0.266584,0.50105,6.13804
0.266584,0.500035,6.13099
0.277247,0.50058,6.13837
0.277247,0.501725,6.14873
0.277247,0.50123,6.1394
0.288337,0.497855,6.13079
0.288337,0.499055,6.1491
0.288337,0.500015,6.13695
0.29987,0.49758,6.13354
0.29987,0.495945,6.14387
0.29987,0.494955,6.12146
0.311865,0.49594,6.14379
0.311865,0.4946,6.14617
0.311865,0.496425,6.17196
0.32434,0.48988,6.10892
0.32434,0.49453,6.13979
0.32434,0.49177,6.15209
0.337313,0.49153,6.1491
0.337313,0.49082,6.13827
0.337313,0.490575,6.13997
0.350806,0.48803,6.13781
0.350806,0.489105,6.14371
0.350806,0.4902,6.15024
0.364838,0.48766,6.16404
0.364838,0.48648,6.11728
0.364838,0.48769,6.13344
0.379432,0.483945,6.12798
0.379432,0.480015,6.12015
0.379432,0.482235,6.13322
0.394609,0.48121,6.15692
0.394609,0.482,6.13845
0.394609,0.48232,6.13586
0.410393,0.483445,6.1413
0.410393,0.477735,6.12422
0.410393,0.479285,6.12964
0.426809,0.47742,6.13012
0.426809,0.478135,6.1215
0.426809,0.477185,6.13082
0.443881,0.47424,6.13662
0.443881,0.476265,6.15247
0.443881,0.475565,6.12926
0.461637,0.47482,6.1475
