# Start of simulation: Sun Mar 20 10:21:58 2016
beta,acc,obs
1,0.535156,7.68122
1,0.535136,7.6919
1,0.535891,7.69267
1,0.53578,7.68224
1,0.535614,7.70356
1,0.535274,7.66939
1,0.535235,7.67029
1,0.534411,7.68387
1,0.535162,7.67918
1,0.534093,7.68676
1,0.534054,7.67638
1,0.535278,7.67665
1,0.536109,7.69144
1,0.535074,7.68258
1,0.536023,7.69683
1.04,0.530805,7.68704
1.04,0.531173,7.67823
1.04,0.53132,7.68219
1.04,0.530691,7.68151
1.04,0.531701,7.67891
1.04,0.530351,7.68422
1.04,0.531072,7.68241
1.04,0.531097,7.68352
1.04,0.531507,7.68715
1.04,0.530615,7.67032
1.04,0.531432,7.66857
1.04,0.531214,7.695
1.04,0.530779,7.67918
1.04,0.530884,7.68451
1.04,0.531603,7.69263
1.0816,0.527703,7.69661
1.0816,0.527609,7.67653
1.0816,0.527244,7.68238
1.0816,0.528217,7.68571
1.0816,0.526983,7.67359
1.0816,0.526754,7.67084
1.0816,0.526069,7.67427
1.0816,0.528881,7.70483
1.0816,0.525866,7.67611
1.0816,0.527035,7.67835
1.0816,0.527527,7.68407
1.0816,0.527562,7.68227
1.0816,0.5259,7.66617
1.0816,0.527639,7.69339
1.0816,0.526315,7.68799
1.12486,0.523672,7.67711
1.12486,0.5232,7.69947
1.12486,0.522796,7.68911
1.12486,0.522088,7.6824
1.12486,0.522348,7.68733
1.12486,0.524208,7.68405
1.12486,0.522149,7.67043
1.12486,0.522604,7.67422
1.12486,0.523741,7.70463
1.12486,0.522765,7.68936
1.12486,0.522839,7.68223
1.12486,0.523585,7.68717
1.12486,0.523386,7.69185
1.12486,0.523388,7.67519
1.12486,0.523799,7.70692
1.16986,0.517422,7.69166
1.16986,0.519273,7.68896
1.16986,0.519822,7.69822
1.16986,0.518126,7.68849
1.16986,0.519777,7.67584
1.16986,0.518668,7.6799
1.16986,0.519969,7.70015
1.16986,0.519301,7.67719
1.16986,0.519156,7.67961
1.16986,0.518809,7.70641
1.16986,0.519997,7.69562
1.16986,0.519018,7.68116
1.16986,0.519642,7.67935
1.16986,0.520336,7.69642
1.16986,0.518339,7.69067
1.21665,0.515346,7.69476
1.21665,0.515694,7.68747
1.21665,0.514092,7.67928
1.21665,0.514588,7.673
1.21665,0.513948,7.67998
1.21665,0.515504,7.68678
1.21665,0.516262,7.68509
1.21665,0.515052,7.68463
1.21665,0.516229,7.6954
1.21665,0.514949,7.70047
1.21665,0.513581,7.68431
1.21665,0.515941,7.68207
1.21665,0.514429,7.68883
1.21665,0.513485,7.68507
1.21665,0.514499,7.67771
1.26532,0.512386,7.69234
1.26532,0.511168,7.67898
1.26532,0.510886,7.6923
1.26532,0.510694,7.69205
1.26532,0.51034,7.68522
1.26532,0.510615,7.6788
1.26532,0.510479,7.68974
1.26532,0.510882,7.69039
1.26532,0.511789,7.68759
1.26532,0.51178,7.6873
1.26532,0.510831,7.6816
1.26532,0.510179,7.68411
1.26532,0.510749,7.68452
1.26532,0.509746,7.66592
1.26532,0.5116,7.69548
1.31593,0.505717,7.67158
1.31593,0.507077,7.69095
1.31593,0.507124,7.68844
1.31593,0.506683,7.69946
1.31593,0.506211,7.67845
1.31593,0.508081,7.70005
1.31593,0.507821,7.70171
1.31593,0.507732,7.70489
1.31593,0.505593,7.67844
1.31593,0.507463,7.68917
1.31593,0.507232,7.68345
1.31593,0.507563,7.68928
1.31593,0.50624,7.68598
1.31593,0.506891,7.67208
1.31593,0.505627,7.6911
1.36857,0.502679,7.69509
1.36857,0.501402,7.68785
1.36857,0.501602,7.68226
1.36857,0.503012,7.68659
1.36857,0.503532,7.68756
1.36857,0.502493,7.70541
1.36857,0.50277,7.71298
1.36857,0.503051,7.67968
1.36857,0.504295,7.71266
1.36857,0.502344,7.68501
1.36857,0.50189,7.69056
1.36857,0.502695,7.70363
1.36857,0.502801,7.6947
1.36857,0.502328,7.68659
1.36857,0.502391,7.68306
1.42331,0.497784,7.68697
1.42331,0.49726,7.68529
1.42331,0.498755,7.68689
1.42331,0.498503,7.70155
1.42331,0.499724,7.70757
1.42331,0.496925,7.67251
1.42331,0.498275,7.69714
1.42331,0.49736,7.68409
1.42331,0.498123,7.69735
1.42331,0.499605,7.6926
1.42331,0.497583,7.69603
1.42331,0.498376,7.67363
1.42331,0.498449,7.70052
1.42331,0.498088,7.69969
1.42331,0.498897,7.6854
1.48024,0.494169,7.69877
1.48024,0.494993,7.68834
1.48024,0.492999,7.68602
1.48024,0.494938,7.68941
1.48024,0.494129,7.70461
1.48024,0.493223,7.6862
1.48024,0.493127,7.69905
1.48024,0.49472,7.6808
1.48024,0.494905,7.69634
1.48024,0.493869,7.69984
1.48024,0.493393,7.69164
1.48024,0.495836,7.69518
1.48024,0.494342,7.6941
1.48024,0.494349,7.69812
1.48024,0.493755,7.69577
1.53945,0.48975,7.69016
1.53945,0.489681,7.7096
1.53945,0.490167,7.69859
1.53945,0.489435,7.68479
1.53945,0.488742,7.70501
1.53945,0.489137,7.68843
1.53945,0.48824,7.68058
1.53945,0.489487,7.69051
1.53945,0.491429,7.70626
1.53945,0.490287,7.70705
1.53945,0.489279,7.70284
1.53945,0.489508,7.68569
1.53945,0.488795,7.6759
1.53945,0.490485,7.68404
1.53945,0.489386,7.6933
1.60103,0.48639,7.71837
1.60103,0.484856,7.69103
1.60103,0.484417,7.69034
1.60103,0.485497,7.68278
1.60103,0.485518,7.70547
1.60103,0.484733,7.69294
1.60103,0.485731,7.70515
1.60103,0.484982,7.69098
1.60103,0.484996,7.69276
1.60103,0.486315,7.7053
1.60103,0.485494,7.69477
1.60103,0.486147,7.69301
1.60103,0.484953,7.69569
1.60103,0.485049,7.69441
1.60103,0.485837,7.70485
1.66507,0.481595,7.72069
1.66507,0.47989,7.69439
1.66507,0.480955,7.69647
1.66507,0.480375,7.68876
1.66507,0.481093,7.69784
1.66507,0.480565,7.71107
1.66507,0.481074,7.69038
1.66507,0.481199,7.70359
1.66507,0.480603,7.69423
1.66507,0.481226,7.68629
1.66507,0.480946,7.69034
1.66507,0.479839,7.6818
1.66507,0.480464,7.68789
1.66507,0.479162,7.69018
1.66507,0.480121,7.68465
1.73168,0.476889,7.69721
1.73168,0.476685,7.6927
1.73168,0.476202,7.69392
1.73168,0.477363,7.71288
1.73168,0.477486,7.69954
1.73168,0.474663,7.67886
1.73168,0.476923,7.69269
1.73168,0.47635,7.70556
1.73168,0.476574,7.69542
1.73168,0.476456,7.69101
1.73168,0.475287,7.68793
1.73168,0.476,7.68982
1.73168,0.475979,7.71231
1.73168,0.475215,7.69907
1.73168,0.476684,7.68717
1.80094,0.470216,7.6818
1.80094,0.471356,7.68696
1.80094,0.471169,7.68786
1.80094,0.47183,7.69477
1.80094,0.470644,7.69533
1.80094,0.471593,7.70102
1.80094,0.472148,7.69069
1.80094,0.471627,7.70273
1.80094,0.470862,7.69873
1.80094,0.472018,7.69933
1.80094,0.470893,7.70173
1.80094,0.471425,7.68264
1.80094,0.471719,7.6956
1.80094,0.473396,7.7245
1.80094,0.470152,7.68792
1.87298,0.467252,7.69305
1.87298,0.467094,7.70428
1.87298,0.467208,7.69719
1.87298,0.466707,7.68492
1.87298,0.466389,7.69274
1.87298,0.466325,7.70017
1.87298,0.468128,7.70781
1.87298,0.46587,7.69329
1.87298,0.467048,7.69546
1.87298,0.466691,7.68553
1.87298,0.465968,7.69839
1.87298,0.465623,7.69977
1.87298,0.467102,7.70916
1.87298,0.46759,7.71065
1.87298,0.467111,7.69103
1.9479,0.46221,7.70381
1.9479,0.460704,7.68505
1.9479,0.461942,7.68678
1.9479,0.461397,7.70393
1.9479,0.461793,7.68806
1.9479,0.462889,7.72476
1.9479,0.462023,7.71271
1.9479,0.462544,7.69115
1.9479,0.461852,7.68614
1.9479,0.462179,7.70204
1.9479,0.462067,7.68871
1.9479,0.462198,7.6828
1.9479,0.46318,7.70317
1.9479,0.463249,7.70769
1.9479,0.463267,7.70002
2.02582,0.45846,7.69508
2.02582,0.455708,7.6746
2.02582,0.456263,7.68862
2.02582,0.458173,7.69006
2.02582,0.45843,7.71249
2.02582,0.457601,7.703
2.02582,0.458438,7.70556
2.02582,0.45687,7.69434
2.02582,0.458083,7.69315
2.02582,0.458275,7.69205
2.02582,0.458885,7.69948
2.02582,0.458622,7.71074
2.02582,0.457425,7.6925
2.02582,0.457099,7.68078
2.02582,0.457618,7.6961
2.10685,0.453789,7.70936
2.10685,0.45347,7.70871
2.10685,0.454123,7.70462
2.10685,0.452255,7.67346
2.10685,0.452551,7.7012
2.10685,0.453862,7.69354
2.10685,0.452645,7.69801
2.10685,0.453918,7.70398
2.10685,0.452727,7.70258
2.10685,0.452283,7.6957
2.10685,0.453321,7.69054
2.10685,0.452974,7.6997
2.10685,0.454367,7.70667
2.10685,0.452791,7.69566
2.10685,0.454721,7.70223
2.19112,0.448782,7.70406
2.19112,0.447784,7.69786
2.19112,0.447189,7.68875
2.19112,0.449253,7.69288
2.19112,0.449214,7.69305
2.19112,0.449298,7.71169
2.19112,0.449181,7.69251
2.19112,0.447487,7.69199
2.19112,0.447631,7.71991
2.19112,0.44846,7.68902
2.19112,0.448901,7.70038
2.19112,0.448183,7.6852
2.19112,0.447338,7.69437
2.19112,0.448064,7.70394
2.19112,0.44743,7.70508
2.27877,0.442451,7.6917
2.27877,0.443722,7.71455
2.27877,0.442273,7.69567
2.27877,0.443352,7.70283
2.27877,0.441958,7.69184
2.27877,0.44343,7.70871
2.27877,0.442283,7.69443
2.27877,0.442908,7.68949
2.27877,0.443712,7.69901
2.27877,0.442596,7.69471
2.27877,0.442458,7.67216
2.27877,0.443376,7.69049
2.27877,0.442105,7.68846
2.27877,0.442517,7.68627
2.27877,0.443407,7.6969
2.36992,0.437969,7.69615
2.36992,0.436608,7.67755
2.36992,0.437229,7.68653
2.36992,0.438783,7.69746
2.36992,0.437968,7.67761
2.36992,0.437806,7.68566
2.36992,0.436454,7.67047
2.36992,0.437467,7.69204
2.36992,0.438222,7.69732
2.36992,0.439096,7.69665
2.36992,0.438018,7.69618
2.36992,0.43913,7.68144
2.36992,0.43764,7.68904
2.36992,0.438524,7.67192
2.36992,0.437938,7.6836
2.46472,0.431965,7.69865
2.46472,0.431984,7.68319
2.46472,0.432296,7.7005
2.46472,0.433011,7.68928
2.46472,0.432122,7.68937
2.46472,0.434172,7.68299
2.46472,0.434107,7.69661
2.46472,0.434246,7.68735
2.46472,0.433361,7.71282
2.46472,0.433373,7.69304
2.46472,0.434128,7.68876
2.46472,0.432706,7.71122
2.46472,0.433316,7.70522
2.46472,0.434165,7.7071
2.46472,0.433691,7.70171
2.5633,0.427947,7.70003
