# Start of simulation: Sun Mar 20 09:21:15 2016
beta,acc,obs
1,0.535766,7.69736
1,0.535486,7.69085
1,0.534513,7.67717
1,0.535691,7.70098
1,0.536015,7.69018
1,0.534515,7.67394
1,0.535678,7.69036
1,0.534825,7.66833
1,0.53402,7.68493
1,0.535932,7.6807
1,0.535084,7.68538
1,0.53527,7.67954
1,0.537061,7.7069
1,0.534299,7.69127
1,0.535041,7.67697
1.04,0.531057,7.67831
1.04,0.531863,7.68426
1.04,0.529747,7.68175
1.04,0.531168,7.67301
1.04,0.530699,7.68275
1.04,0.531015,7.68189
1.04,0.529946,7.67281
1.04,0.531202,7.67245
1.04,0.531967,7.68339
1.04,0.531992,7.69832
1.04,0.533209,7.69578
1.04,0.532291,7.68896
1.04,0.530327,7.67667
1.04,0.531301,7.6804
1.04,0.530213,7.67494
1.0816,0.527352,7.67954
1.0816,0.527428,7.67728
1.0816,0.527302,7.68345
1.0816,0.527462,7.69504
1.0816,0.52757,7.68262
1.0816,0.526213,7.68009
1.0816,0.528245,7.68467
1.0816,0.52691,7.67867
1.0816,0.526587,7.68269
1.0816,0.52813,7.68856
1.0816,0.528006,7.69666
1.0816,0.52814,7.68587
1.0816,0.527911,7.6842
1.0816,0.527067,7.68238
1.0816,0.526947,7.68345
1.12486,0.52366,7.69365
1.12486,0.522267,7.66845
1.12486,0.522787,7.68825
1.12486,0.523777,7.68007
1.12486,0.52409,7.68075
1.12486,0.523155,7.68878
1.12486,0.523578,7.69538
1.12486,0.523147,7.68656
1.12486,0.521908,7.67312
1.12486,0.522778,7.67389
1.12486,0.522075,7.68292
1.12486,0.522967,7.67228
1.12486,0.523599,7.68973
1.12486,0.524109,7.68666
1.12486,0.522649,7.68397
1.16986,0.520016,7.6818
1.16986,0.518844,7.68164
1.16986,0.519105,7.6902
1.16986,0.519252,7.68335
1.16986,0.51882,7.67423
1.16986,0.519161,7.69399
1.16986,0.518986,7.68307
1.16986,0.51892,7.68627
1.16986,0.518975,7.68154
1.16986,0.518771,7.68148
1.16986,0.520628,7.6885
1.16986,0.519431,7.68077
1.16986,0.518637,7.67786
1.16986,0.51911,7.68231
1.16986,0.51803,7.68171
1.21665,0.515483,7.69314
1.21665,0.51435,7.67997
1.21665,0.515043,7.67534
1.21665,0.515253,7.69402
1.21665,0.514477,7.67988
1.21665,0.514717,7.68551
1.21665,0.516387,7.69116
1.21665,0.515714,7.68874
1.21665,0.515282,7.70218
1.21665,0.515051,7.69351
1.21665,0.514888,7.69185
1.21665,0.51438,7.68683
1.21665,0.515092,7.66812
