# Start of simulation: Sat Mar 19 11:32:54 2016
beta,acc,obs
1,0.534139,7.66625
1,0.53626,7.68846
1,0.534558,7.6815
1,0.535444,7.68964
1,0.534811,7.6848
1,0.535625,7.68069
1,0.534681,7.67171
1,0.535839,7.68709
1,0.534984,7.68716
1,0.534673,7.68724
1,0.535892,7.67863
1,0.53462,7.66753
1,0.535261,7.68372
1,0.534682,7.67779
1,0.534007,7.6741
1.04,0.531474,7.68657
1.04,0.530758,7.67978
1.04,0.531027,7.66929
1.04,0.530582,7.69002
1.04,0.531926,7.69195
1.04,0.531755,7.67501
1.04,0.531267,7.67218
1.04,0.53057,7.67982
1.04,0.531267,7.67818
1.04,0.532084,7.69401
1.04,0.530873,7.68345
1.04,0.53175,7.67579
1.04,0.53187,7.68169
1.04,0.531451,7.67886
1.04,0.531828,7.6762
1.0816,0.527349,7.68073
1.0816,0.52751,7.67197
1.0816,0.52881,7.69282
1.0816,0.527363,7.68403
1.0816,0.52792,7.68746
1.0816,0.527161,7.69068
1.0816,0.527014,7.66672
1.0816,0.527068,7.67995
1.0816,0.527439,7.68613
1.0816,0.526939,7.68561
1.0816,0.528175,7.70322
1.0816,0.527588,7.67656
1.0816,0.527609,7.69531
1.0816,0.526836,7.69376
1.0816,0.526473,7.68415
1.12486,0.522563,7.68437
1.12486,0.523778,7.70163
1.12486,0.523424,7.67751
1.12486,0.524003,7.6914
1.12486,0.523841,7.69082
1.12486,0.522545,7.6958
1.12486,0.524101,7.68993
1.12486,0.523306,7.68582
1.12486,0.524462,7.69257
1.12486,0.522975,7.67996
1.12486,0.524147,7.68174
1.12486,0.523758,7.69322
1.12486,0.522975,7.67844
1.12486,0.523122,7.6731
1.12486,0.522817,7.67762
1.16986,0.518947,7.68553
1.16986,0.519095,7.67004
1.16986,0.51813,7.68408
1.16986,0.51833,7.68533
1.16986,0.517826,7.68356
1.16986,0.51939,7.68898
1.16986,0.519945,7.6847
1.16986,0.518943,7.67723
1.16986,0.519558,7.69388
1.16986,0.519852,7.68868
1.16986,0.518742,7.68842
1.16986,0.519541,7.69495
1.16986,0.519033,7.68657
1.16986,0.519803,7.69124
1.16986,0.520134,7.69914
1.21665,0.514881,7.69408
1.21665,0.515224,7.66907
1.21665,0.514112,7.67453
1.21665,0.515637,7.69127
1.21665,0.515478,7.67666
1.21665,0.516094,7.70332
1.21665,0.51517,7.68089
1.21665,0.515016,7.68133
1.21665,0.514974,7.67561
1.21665,0.515835,7.70491
1.21665,0.51506,7.67667
1.21665,0.514629,7.68066
1.21665,0.514922,7.68109
1.21665,0.514528,7.66891
1.21665,0.515106,7.66453
1.26532,0.510385,7.68842
1.26532,0.510838,7.67652
1.26532,0.510682,7.68091
1.26532,0.510615,7.69211
1.26532,0.510626,7.68133
1.26532,0.512887,7.69977
1.26532,0.51065,7.67607
1.26532,0.509991,7.67557
1.26532,0.511657,7.68819
