# Start of simulation: Sat Mar 19 16:06:33 2016
beta,acc,obs
1,0.534682,7.68309
1,0.536221,7.68675
1,0.534262,7.68833
1,0.534377,7.671
1,0.535067,7.6821
1,0.534524,7.67139
1,0.535598,7.6733
1,0.536053,7.68553
1,0.535227,7.68844
1,0.536387,7.69317
1,0.535703,7.69436
1,0.535947,7.69858
1,0.534878,7.68902
1,0.534542,7.65947
1,0.535724,7.67511
1.04,0.531398,7.69241
1.04,0.531848,7.69871
1.04,0.531236,7.67694
1.04,0.531329,7.69317
1.04,0.531441,7.67227
1.04,0.531668,7.68156
1.04,0.529711,7.68365
1.04,0.531236,7.67432
1.04,0.531566,7.68941
1.04,0.530931,7.68832
1.04,0.531122,7.67587
1.04,0.532732,7.68881
1.04,0.531751,7.69792
1.04,0.532561,7.69117
1.04,0.531717,7.66988
1.0816,0.527117,7.67924
1.0816,0.526914,7.69543
1.0816,0.527201,7.67843
1.0816,0.527654,7.68299
1.0816,0.526553,7.69301
1.0816,0.527043,7.68558
1.0816,0.52772,7.69697
1.0816,0.526483,7.67628
1.0816,0.527941,7.68723
1.0816,0.527825,7.69336
1.0816,0.528338,7.69756
1.0816,0.527759,7.67949
1.0816,0.528033,7.67505
1.0816,0.527259,7.69357
1.0816,0.527452,7.67589
1.12486,0.524678,7.69578
1.12486,0.52281,7.68649
1.12486,0.522262,7.68281
1.12486,0.524005,7.68479
1.12486,0.523725,7.67141
1.12486,0.522123,7.68854
1.12486,0.523116,7.6934
1.12486,0.525115,7.70335
1.12486,0.524661,7.68561
1.12486,0.524238,7.70371
1.12486,0.523844,7.69953
1.12486,0.523129,7.68742
1.12486,0.523101,7.68831
1.12486,0.5227,7.68842
1.12486,0.522123,7.67028
1.16986,0.517399,7.66677
1.16986,0.519863,7.69345
1.16986,0.518975,7.68935
1.16986,0.519701,7.69633
1.16986,0.518316,7.67182
1.16986,0.51911,7.68263
1.16986,0.520489,7.6847
1.16986,0.5191,7.70756
1.16986,0.519904,7.696
1.16986,0.518068,7.66845
1.16986,0.518739,7.68213
1.16986,0.518894,7.68403
1.16986,0.518045,7.67683
1.16986,0.519444,7.69244
1.16986,0.519666,7.6994
1.21665,0.515478,7.69322
1.21665,0.515432,7.67581
1.21665,0.514459,7.69368
1.21665,0.515123,7.678
1.21665,0.515804,7.69924
1.21665,0.51447,7.6803
1.21665,0.513854,7.68371
1.21665,0.515892,7.70265
1.21665,0.515343,7.70179
1.21665,0.515885,7.69542
1.21665,0.515056,7.68322
1.21665,0.514151,7.68628
1.21665,0.515178,7.68598
1.21665,0.514469,7.67269
1.21665,0.514634,7.69338
1.26532,0.510196,7.6896
1.26532,0.511376,7.70419
1.26532,0.510069,7.69861
1.26532,0.512317,7.68571
1.26532,0.511186,7.68784
1.26532,0.511955,7.6833
1.26532,0.51029,7.68388
1.26532,0.511587,7.70145
1.26532,0.510936,7.6749
1.26532,0.510271,7.67588
1.26532,0.511359,7.68288
1.26532,0.512069,7.69143
1.26532,0.511035,7.68353
1.26532,0.511034,7.67459
1.26532,0.511256,7.69221
1.31593,0.506217,7.70055
1.31593,0.506375,7.70042
1.31593,0.506712,7.69257
1.31593,0.505563,7.67241
1.31593,0.507203,7.68615
1.31593,0.507115,7.69302
1.31593,0.50757,7.69682
1.31593,0.50674,7.69292
1.31593,0.506297,7.68629
1.31593,0.50558,7.67684
1.31593,0.506924,7.69933
1.31593,0.506941,7.69248
1.31593,0.506076,7.66895
1.31593,0.506858,7.69688
1.31593,0.507697,7.69029
1.36857,0.502778,7.68291
1.36857,0.501989,7.68117
1.36857,0.503002,7.68311
1.36857,0.504076,7.70346
1.36857,0.503661,7.70065
1.36857,0.502728,7.71697
1.36857,0.502388,7.69135
1.36857,0.502393,7.67943
1.36857,0.502973,7.6938
1.36857,0.502619,7.68648
1.36857,0.503795,7.69914
1.36857,0.502264,7.69542
1.36857,0.503369,7.68983
1.36857,0.503129,7.71168
1.36857,0.501994,7.68925
1.42331,0.497997,7.68284
1.42331,0.498706,7.68296
1.42331,0.497852,7.68324
1.42331,0.498511,7.679
1.42331,0.498121,7.70416
1.42331,0.499228,7.69796
1.42331,0.498895,7.68788
1.42331,0.498215,7.70145
1.42331,0.497855,7.69003
1.42331,0.497546,7.6852
1.42331,0.497181,7.69306
1.42331,0.496947,7.69118
1.42331,0.497276,7.68459
1.42331,0.496948,7.67669
1.42331,0.498366,7.69036
1.48024,0.49323,7.68582
1.48024,0.49421,7.71153
1.48024,0.493094,7.70877
1.48024,0.493745,7.70382
1.48024,0.494227,7.68244
1.48024,0.493111,7.67984
1.48024,0.494532,7.70293
1.48024,0.492463,7.67791
1.48024,0.493315,7.6824
1.48024,0.494468,7.69112
1.48024,0.493551,7.69621
1.48024,0.494581,7.70321
1.48024,0.493747,7.68554
1.48024,0.494957,7.70668
1.48024,0.493395,7.68036
1.53945,0.489815,7.69596
1.53945,0.488367,7.70003
1.53945,0.489017,7.68779
1.53945,0.489494,7.69623
1.53945,0.48967,7.69621
1.53945,0.488326,7.67114
1.53945,0.489402,7.70509
1.53945,0.489644,7.70115
1.53945,0.490237,7.69428
1.53945,0.490417,7.69625
1.53945,0.489465,7.69967
1.53945,0.48951,7.68249
1.53945,0.489823,7.69752
1.53945,0.489897,7.68391
1.53945,0.490021,7.69884
1.60103,0.485329,7.70121
1.60103,0.483328,7.69619
1.60103,0.485813,7.69172
1.60103,0.484487,7.68503
1.60103,0.485256,7.70204
1.60103,0.485244,7.6978
1.60103,0.486077,7.69733
1.60103,0.484974,7.69853
1.60103,0.485246,7.70983
1.60103,0.486252,7.6929
1.60103,0.486098,7.69989
1.60103,0.485079,7.68939
1.60103,0.485598,7.70432
1.60103,0.484439,7.68611
1.60103,0.484479,7.68614
1.66507,0.481492,7.69552
1.66507,0.48083,7.6939
1.66507,0.481183,7.70334
1.66507,0.481094,7.68729
1.66507,0.480767,7.69383
1.66507,0.479807,7.68158
1.66507,0.481101,7.69224
1.66507,0.480552,7.68735
1.66507,0.47992,7.69176
1.66507,0.480834,7.68037
1.66507,0.481104,7.69866
1.66507,0.479504,7.68611
1.66507,0.479795,7.67902
1.66507,0.481114,7.70348
1.66507,0.481408,7.70166
1.73168,0.476219,7.70725
1.73168,0.476567,7.71383
1.73168,0.47644,7.69949
1.73168,0.475866,7.69029
1.73168,0.475575,7.68117
1.73168,0.475192,7.69315
1.73168,0.477403,7.7155
1.73168,0.477309,7.70709
1.73168,0.476057,7.7061
1.73168,0.477059,7.68374
1.73168,0.475169,7.6778
1.73168,0.476003,7.68937
1.73168,0.476968,7.69962
1.73168,0.476094,7.68838
1.73168,0.476007,7.68142
1.80094,0.471812,7.69293
1.80094,0.470241,7.67636
1.80094,0.471473,7.69536
1.80094,0.471032,7.69776
1.80094,0.471334,7.69668
1.80094,0.471768,7.67546
1.80094,0.47207,7.71236
1.80094,0.472851,7.68257
1.80094,0.471537,7.69655
1.80094,0.471899,7.68468
1.80094,0.473072,7.70064
1.80094,0.471774,7.69667
1.80094,0.47194,7.69176
1.80094,0.472073,7.71632
1.80094,0.472023,7.70924
1.87298,0.46679,7.70264
1.87298,0.467322,7.69939
1.87298,0.466969,7.69349
1.87298,0.4666,7.69131
1.87298,0.467193,7.70495
1.87298,0.467018,7.70149
1.87298,0.466349,7.69745
1.87298,0.467094,7.68937
1.87298,0.466094,7.69489
1.87298,0.466692,7.68361
1.87298,0.46639,7.70151
1.87298,0.466374,7.69317
1.87298,0.467116,7.6917
1.87298,0.466269,7.69059
1.87298,0.468013,7.6997
1.9479,0.461893,7.69971
1.9479,0.463076,7.71798
1.9479,0.462248,7.7031
1.9479,0.462075,7.70175
1.9479,0.462106,7.69779
1.9479,0.461714,7.6937
1.9479,0.461333,7.68124
1.9479,0.462245,7.70265
1.9479,0.46344,7.69329
1.9479,0.463223,7.70936
1.9479,0.462662,7.69599
1.9479,0.462756,7.71215
1.9479,0.461729,7.68728
1.9479,0.461318,7.699
1.9479,0.461772,7.69397
2.02582,0.456365,7.6767
2.02582,0.457714,7.70302
2.02582,0.458763,7.70336
2.02582,0.456017,7.67392
2.02582,0.458406,7.70884
2.02582,0.457771,7.69145
2.02582,0.458498,7.7047
2.02582,0.456482,7.67687
2.02582,0.458106,7.70211
2.02582,0.457305,7.70044
2.02582,0.457127,7.69533
2.02582,0.458307,7.70526
2.02582,0.457381,7.69546
2.02582,0.457816,7.68458
2.02582,0.457327,7.69284
2.10685,0.452776,7.68884
2.10685,0.453676,7.70016
2.10685,0.452011,7.68829
2.10685,0.452414,7.68937
2.10685,0.452438,7.68998
2.10685,0.451646,7.70427
2.10685,0.451608,7.6898
2.10685,0.452662,7.69055
2.10685,0.453217,7.69805
2.10685,0.453446,7.69822
2.10685,0.452283,7.69053
2.10685,0.452209,7.69176
2.10685,0.45127,7.68474
2.10685,0.452529,7.70495
2.10685,0.452177,7.70114
2.19112,0.448234,7.70591
2.19112,0.447781,7.69492
2.19112,0.448473,7.71616
2.19112,0.447773,7.69249
2.19112,0.448945,7.69423
2.19112,0.447803,7.67779
2.19112,0.447501,7.68835
2.19112,0.447959,7.69841
2.19112,0.447665,7.70355
2.19112,0.44799,7.69031
2.19112,0.448176,7.68982
2.19112,0.446611,7.67615
2.19112,0.44681,7.67857
2.19112,0.447571,7.69312
2.19112,0.446485,7.67562
2.27877,0.442845,7.69572
2.27877,0.443236,7.69026
2.27877,0.443009,7.68492
2.27877,0.442181,7.69335
2.27877,0.443508,7.69943
2.27877,0.441843,7.68078
2.27877,0.442061,7.68421
2.27877,0.443002,7.67842
2.27877,0.444304,7.69697
2.27877,0.443429,7.68928
2.27877,0.443053,7.70252
2.27877,0.443193,7.71064
2.27877,0.442085,7.70014
2.27877,0.441927,7.69677
2.27877,0.442793,7.68832
2.36992,0.438129,7.69046
2.36992,0.438373,7.69828
2.36992,0.437995,7.70589
2.36992,0.438714,7.69642
2.36992,0.437529,7.70273
2.36992,0.438358,7.69931
2.36992,0.437292,7.68513
2.36992,0.439358,7.70325
2.36992,0.437623,7.69122
2.36992,0.438016,7.68483
2.36992,0.438344,7.7063
2.36992,0.436211,7.66776
2.36992,0.438254,7.69528
2.36992,0.438506,7.71034
2.36992,0.437893,7.69808
2.46472,0.432386,7.6907
2.46472,0.4335,7.68581
2.46472,0.43291,7.6851
2.46472,0.433596,7.69311
2.46472,0.433085,7.69725
2.46472,0.433832,7.70702
2.46472,0.433252,7.69791
2.46472,0.433414,7.68218
2.46472,0.433603,7.70446
2.46472,0.433909,7.68427
2.46472,0.432905,7.69322
2.46472,0.433016,7.68585
2.46472,0.431511,7.68895
2.46472,0.433254,7.69315
2.46472,0.432907,7.6944
2.5633,0.428518,7.68871
2.5633,0.427318,7.67611
2.5633,0.428042,7.70367
2.5633,0.428551,7.69942
2.5633,0.426214,7.68971
2.5633,0.428326,7.68269
2.5633,0.426977,7.69397
2.5633,0.428055,7.68795
2.5633,0.428339,7.7172
2.5633,0.428191,7.69436
2.5633,0.42852,7.69963
2.5633,0.427819,7.69624
2.5633,0.427731,7.69716
2.5633,0.428569,7.7001
2.5633,0.428232,7.69512
2.66584,0.422428,7.697
2.66584,0.423382,7.68915
2.66584,0.422895,7.69387
2.66584,0.422137,7.69845
2.66584,0.422533,7.68443
2.66584,0.423535,7.6963
2.66584,0.421842,7.69798
2.66584,0.424105,7.68908
2.66584,0.423318,7.70126
2.66584,0.423611,7.69275
2.66584,0.423188,7.69229
2.66584,0.423154,7.68758
2.66584,0.42145,7.68167
2.66584,0.422048,7.67963
2.66584,0.422856,7.69228
2.77247,0.417314,7.69378
2.77247,0.417776,7.68692
2.77247,0.417773,7.67917
2.77247,0.419397,7.69063
2.77247,0.417885,7.68288
2.77247,0.417926,7.70737
2.77247,0.418017,7.68821
2.77247,0.417711,7.69196
2.77247,0.417726,7.69163
2.77247,0.417569,7.69031
2.77247,0.419254,7.7254
2.77247,0.417793,7.69434
2.77247,0.418278,7.68106
2.77247,0.417478,7.69128
2.77247,0.416937,7.69741
2.88337,0.412988,7.69291
2.88337,0.411227,7.69891
2.88337,0.412469,7.69727
2.88337,0.412731,7.70522
2.88337,0.41212,7.69162
2.88337,0.412116,7.70523
2.88337,0.412719,7.68483
2.88337,0.412566,7.68263
2.88337,0.412426,7.68572
2.88337,0.411173,7.67901
2.88337,0.413796,7.71169
2.88337,0.413372,7.69941
2.88337,0.413804,7.70147
2.88337,0.413209,7.70476
2.88337,0.411843,7.68083
2.9987,0.408646,7.69246
2.9987,0.407563,7.70342
2.9987,0.40727,7.69867
2.9987,0.406834,7.69904
2.9987,0.406298,7.6807
