# Start of simulation: Sat Mar 19 09:31:29 2016
beta,acc,obs
1,0.534429,7.68448
1,0.534629,7.68224
1,0.53523,7.67564
1,0.535418,7.66807
1,0.536133,7.68527
1,0.534456,7.68695
1,0.534306,7.6784
1,0.535475,7.69088
1,0.534468,7.6755
1,0.535648,7.68874
1,0.535265,7.687
1,0.534296,7.67314
1,0.53478,7.67522
1,0.535704,7.68261
1,0.53643,7.68879
1.04,0.531112,7.67863
1.04,0.530407,7.67577
1.04,0.530552,7.68108
1.04,0.530635,7.68188
1.04,0.531988,7.696
1.04,0.530975,7.66811
1.04,0.530349,7.67795
1.04,0.531527,7.68296
1.04,0.531198,7.67902
1.04,0.53218,7.70412
1.04,0.530274,7.66595
1.04,0.531594,7.69709
1.04,0.531807,7.68726
1.04,0.530451,7.68323
1.04,0.530856,7.66933
1.0816,0.528661,7.70043
1.0816,0.526608,7.67554
1.0816,0.526908,7.68748
1.0816,0.526256,7.693
1.0816,0.526399,7.68158
1.0816,0.527554,7.68941
1.0816,0.527336,7.69074
1.0816,0.527036,7.69105
1.0816,0.52661,7.68113
1.0816,0.527598,7.69274
1.0816,0.528113,7.70039
1.0816,0.527057,7.68764
1.0816,0.526353,7.71583
1.0816,0.526968,7.6736
1.0816,0.527734,7.68094
1.12486,0.522518,7.67213
1.12486,0.52122,7.67078
1.12486,0.523218,7.68035
1.12486,0.522711,7.67502
1.12486,0.523053,7.69743
1.12486,0.523518,7.68532
1.12486,0.524035,7.68113
1.12486,0.523541,7.68865
1.12486,0.523377,7.70281
1.12486,0.523121,7.68432
1.12486,0.523678,7.68892
1.12486,0.524141,7.69146
1.12486,0.524754,7.70135
1.12486,0.523232,7.68194
1.12486,0.522585,7.6671
1.16986,0.518654,7.67416
1.16986,0.519291,7.69052
1.16986,0.518662,7.68186
1.16986,0.51889,7.69707
1.16986,0.518813,7.69426
1.16986,0.520225,7.70041
1.16986,0.517576,7.68796
1.16986,0.519604,7.68015
1.16986,0.518352,7.67083
1.16986,0.517794,7.67437
1.16986,0.517595,7.67507
1.16986,0.519911,7.69825
1.16986,0.520449,7.67543
1.16986,0.519151,7.69462
1.16986,0.518607,7.68233
1.21665,0.516046,7.69124
1.21665,0.515759,7.68318
1.21665,0.513874,7.69317
1.21665,0.515152,7.68368
1.21665,0.514677,7.67965
1.21665,0.515433,7.68346
1.21665,0.514647,7.68024
1.21665,0.515128,7.6872
1.21665,0.51456,7.69109
1.21665,0.514252,7.69057
1.21665,0.514392,7.67535
1.21665,0.515122,7.67576
1.21665,0.514858,7.68341
1.21665,0.514437,7.69542
1.21665,0.514102,7.68113
1.26532,0.510053,7.68029
1.26532,0.511591,7.6846
1.26532,0.511433,7.68865
1.26532,0.511464,7.69919
1.26532,0.511674,7.70007
1.26532,0.510666,7.70007
1.26532,0.51143,7.69858
1.26532,0.511418,7.68646
1.26532,0.510961,7.68229
1.26532,0.511093,7.67868
1.26532,0.511692,7.68323
1.26532,0.51109,7.68521
1.26532,0.51144,7.67951
1.26532,0.511821,7.68227
1.26532,0.512147,7.70097
1.31593,0.506883,7.69344
1.31593,0.507643,7.67782
1.31593,0.50665,7.68337
1.31593,0.507301,7.68354
1.31593,0.506151,7.66641
1.31593,0.507689,7.69408
1.31593,0.507187,7.68809
1.31593,0.507001,7.68102
1.31593,0.506826,7.6816
1.31593,0.506316,7.67865
1.31593,0.506281,7.68171
1.31593,0.507238,7.68086
1.31593,0.507143,7.69066
1.31593,0.507558,7.69472
1.31593,0.507525,7.6959
1.36857,0.503577,7.68212
1.36857,0.502126,7.68159
1.36857,0.502762,7.68553
1.36857,0.503117,7.70596
1.36857,0.504162,7.69578
1.36857,0.502259,7.69538
1.36857,0.503,7.69739
1.36857,0.502962,7.68892
1.36857,0.502515,7.68913
1.36857,0.503171,7.70125
1.36857,0.503538,7.698
1.36857,0.503611,7.69412
1.36857,0.502344,7.68515
1.36857,0.502108,7.69591
1.36857,0.501899,7.68656
1.42331,0.49879,7.69407
1.42331,0.498088,7.70112
1.42331,0.498287,7.69449
1.42331,0.498217,7.68437
1.42331,0.497659,7.69165
1.42331,0.499232,7.71263
1.42331,0.497705,7.68909
1.42331,0.498259,7.69137
1.42331,0.498927,7.69257
1.42331,0.498453,7.69446
1.42331,0.497936,7.70089
1.42331,0.498652,7.68416
1.42331,0.497782,7.68482
1.42331,0.497627,7.69566
1.42331,0.497442,7.68179
1.48024,0.49392,7.69983
1.48024,0.49356,7.69302
1.48024,0.492991,7.68453
1.48024,0.49308,7.67276
1.48024,0.493832,7.69125
1.48024,0.494877,7.71355
1.48024,0.494004,7.68456
1.48024,0.493408,7.68366
1.48024,0.495176,7.69167
1.48024,0.49389,7.68827
1.48024,0.493677,7.69652
1.48024,0.493127,7.68497
1.48024,0.493459,7.69294
1.48024,0.494612,7.68516
1.48024,0.494439,7.69287
1.53945,0.490193,7.70304
1.53945,0.488264,7.68291
1.53945,0.488383,7.68305
1.53945,0.489029,7.701
1.53945,0.488911,7.68901
1.53945,0.489919,7.69131
1.53945,0.489977,7.68552
1.53945,0.489541,7.7057
1.53945,0.489252,7.69484
1.53945,0.48941,7.68814
1.53945,0.489779,7.70946
1.53945,0.489401,7.67611
1.53945,0.489042,7.69115
1.53945,0.489259,7.69364
1.53945,0.490485,7.69824
1.60103,0.48547,7.68771
1.60103,0.486377,7.68845
1.60103,0.4854,7.69142
1.60103,0.484896,7.69238
1.60103,0.484785,7.68544
1.60103,0.483939,7.68324
1.60103,0.484495,7.69889
1.60103,0.485585,7.70147
1.60103,0.484734,7.6949
1.60103,0.484706,7.68629
1.60103,0.484834,7.67767
1.60103,0.484964,7.68678
1.60103,0.484785,7.69592
1.60103,0.484595,7.66622
1.60103,0.487222,7.72129
1.66507,0.479737,7.68707
1.66507,0.481839,7.69413
1.66507,0.479912,7.68507
1.66507,0.480962,7.68958
1.66507,0.481755,7.6974
1.66507,0.480795,7.69998
1.66507,0.481931,7.70786
1.66507,0.479958,7.68898
1.66507,0.479881,7.67579
1.66507,0.480406,7.6919
1.66507,0.481287,7.69715
1.66507,0.479985,7.70249
1.66507,0.481081,7.69447
1.66507,0.480088,7.70624
1.66507,0.480679,7.697
1.73168,0.475838,7.67889
1.73168,0.475815,7.68879
1.73168,0.477059,7.69822
1.73168,0.477603,7.69524
1.73168,0.476741,7.69271
1.73168,0.475979,7.69489
1.73168,0.475206,7.68389
1.73168,0.475652,7.6863
1.73168,0.476081,7.6916
1.73168,0.475398,7.68894
1.73168,0.475776,7.67604
1.73168,0.475722,7.70026
