# Start of simulation: Sun Mar 20 12:55:48 2016
beta,acc,obs
1,0.534682,7.66955
1,0.535823,7.6766
1,0.536123,7.67724
1,0.534335,7.67589
1,0.535318,7.67025
1,0.535591,7.68824
1,0.535195,7.68151
1,0.533744,7.67202
1,0.534665,7.67366
1,0.535013,7.67073
1,0.536177,7.68491
1,0.535218,7.67914
1,0.535849,7.68123
1,0.536192,7.68983
1,0.535625,7.67979
1.04,0.531006,7.68789
1.04,0.530644,7.68483
1.04,0.53074,7.69076
1.04,0.532362,7.68382
1.04,0.531369,7.69273
1.04,0.531312,7.67333
1.04,0.531699,7.68572
1.04,0.53097,7.68391
1.04,0.531494,7.69234
1.04,0.530526,7.68269
1.04,0.530913,7.66429
1.04,0.529976,7.68171
1.04,0.531294,7.68198
1.04,0.531582,7.69357
1.04,0.532108,7.69105
1.0816,0.526947,7.67892
1.0816,0.527299,7.68661
1.0816,0.527875,7.6938
1.0816,0.526679,7.67459
1.0816,0.527863,7.68413
1.0816,0.528038,7.67941
1.0816,0.526954,7.68195
1.0816,0.527146,7.67274
1.0816,0.527325,7.66488
1.0816,0.525718,7.67059
1.0816,0.527201,7.67655
1.0816,0.526375,7.67756
1.0816,0.528074,7.67206
1.0816,0.527546,7.67309
1.0816,0.526893,7.69476
1.12486,0.522804,7.67714
1.12486,0.522164,7.68318
1.12486,0.525065,7.70244
1.12486,0.523433,7.68893
1.12486,0.521723,7.66821
1.12486,0.52341,7.67562
1.12486,0.523568,7.6895
1.12486,0.523553,7.67859
1.12486,0.524135,7.68904
1.12486,0.523854,7.69493
1.12486,0.522525,7.67945
1.12486,0.522837,7.6718
1.12486,0.523219,7.67211
1.12486,0.523491,7.68133
1.12486,0.522736,7.67468
1.16986,0.519945,7.68025
1.16986,0.518667,7.68803
1.16986,0.518503,7.69093
1.16986,0.5188,7.67625
1.16986,0.519795,7.69981
1.16986,0.519053,7.6908
1.16986,0.519534,7.69257
1.16986,0.519106,7.69138
1.16986,0.517995,7.67461
1.16986,0.519485,7.69477
1.16986,0.520449,7.7043
1.16986,0.520112,7.68317
1.16986,0.519954,7.68151
1.16986,0.518927,7.68492
1.16986,0.51921,7.68391
1.21665,0.514572,7.69155
1.21665,0.514843,7.68338
1.21665,0.51557,7.69097
1.21665,0.51505,7.68882
1.21665,0.515334,7.69794
1.21665,0.515479,7.70427
1.21665,0.514883,7.68337
1.21665,0.514703,7.68401
1.21665,0.515996,7.69585
1.21665,0.514856,7.68504
1.21665,0.514464,7.69345
1.21665,0.515645,7.68805
1.21665,0.515162,7.68333
1.21665,0.515246,7.68059
1.21665,0.515145,7.69601
1.26532,0.51043,7.6873
1.26532,0.510358,7.6939
1.26532,0.510446,7.69227
1.26532,0.510434,7.67893
1.26532,0.511175,7.6925
1.26532,0.510545,7.68514
1.26532,0.510654,7.68934
1.26532,0.510655,7.69038
1.26532,0.510238,7.68494
1.26532,0.511819,7.69857
1.26532,0.51166,7.69705
1.26532,0.510668,7.66814
1.26532,0.510245,7.68356
1.26532,0.51166,7.6881
1.26532,0.510703,7.69431
1.31593,0.506086,7.68343
1.31593,0.507705,7.69055
1.31593,0.507639,7.69519
1.31593,0.506338,7.6826
1.31593,0.506325,7.67443
1.31593,0.506364,7.67741
1.31593,0.506789,7.69464
1.31593,0.507124,7.70593
1.31593,0.506583,7.6842
1.31593,0.508024,7.6919
1.31593,0.506274,7.68078
1.31593,0.506152,7.69363
1.31593,0.507405,7.69585
1.31593,0.506654,7.69274
1.31593,0.504948,7.67635
1.36857,0.502441,7.69214
1.36857,0.50242,7.70099
1.36857,0.502043,7.68877
1.36857,0.50231,7.68427
1.36857,0.502896,7.69301
1.36857,0.502781,7.69699
1.36857,0.502575,7.6942
1.36857,0.502736,7.68091
1.36857,0.502827,7.69463
1.36857,0.503259,7.69933
1.36857,0.502829,7.69917
1.36857,0.503014,7.7012
1.36857,0.502695,7.68914
1.36857,0.503029,7.71124
1.36857,0.501636,7.67485
1.42331,0.497823,7.6907
1.42331,0.498408,7.69226
1.42331,0.49909,7.69085
1.42331,0.498543,7.68532
1.42331,0.497672,7.67816
1.42331,0.499175,7.69084
1.42331,0.498437,7.68687
1.42331,0.497393,7.69545
1.42331,0.498729,7.70753
1.42331,0.499611,7.68766
1.42331,0.499259,7.70673
1.42331,0.498518,7.68577
1.42331,0.498453,7.69217
1.42331,0.497007,7.68267
1.42331,0.498744,7.69773
1.48024,0.494032,7.69553
1.48024,0.492928,7.68424
1.48024,0.493565,7.70206
1.48024,0.492948,7.68471
1.48024,0.495119,7.69551
1.48024,0.492526,7.69583
1.48024,0.494028,7.68964
1.48024,0.493077,7.6906
1.48024,0.494717,7.69949
1.48024,0.493548,7.68193
1.48024,0.493996,7.67628
1.48024,0.493329,7.70215
1.48024,0.494228,7.69283
1.48024,0.494753,7.71189
1.48024,0.493482,7.70301
1.53945,0.489948,7.68639
1.53945,0.48904,7.69172
1.53945,0.488676,7.68289
1.53945,0.488927,7.69452
1.53945,0.489037,7.687
1.53945,0.490512,7.70403
1.53945,0.487973,7.66888
1.53945,0.488582,7.67427
1.53945,0.489747,7.68066
1.53945,0.490376,7.69948
1.53945,0.490143,7.69881
1.53945,0.489518,7.69282
1.53945,0.488884,7.70155
1.53945,0.490418,7.70852
1.53945,0.48949,7.69625
1.60103,0.485789,7.70664
1.60103,0.484879,7.69987
1.60103,0.485441,7.69273
1.60103,0.485025,7.69812
1.60103,0.485025,7.69638
1.60103,0.485056,7.6898
1.60103,0.48484,7.68585
1.60103,0.486102,7.6967
1.60103,0.485705,7.69244
1.60103,0.484831,7.69827
1.60103,0.48518,7.69052
1.60103,0.485139,7.68593
1.60103,0.484772,7.68742
1.60103,0.483893,7.68429
1.60103,0.485036,7.69579
1.66507,0.479428,7.68881
1.66507,0.48098,7.70139
1.66507,0.4805,7.68881
1.66507,0.479658,7.68741
1.66507,0.479899,7.68392
1.66507,0.480219,7.69175
1.66507,0.480925,7.69126
1.66507,0.480864,7.70494
1.66507,0.480169,7.68682
1.66507,0.481911,7.70552
1.66507,0.480724,7.70411
1.66507,0.482312,7.71028
1.66507,0.480415,7.69455
1.66507,0.481166,7.7046
1.66507,0.480193,7.68463
1.73168,0.475489,7.70296
1.73168,0.476506,7.68774
1.73168,0.476938,7.7048
1.73168,0.477297,7.70973
1.73168,0.476684,7.69664
1.73168,0.475459,7.68442
1.73168,0.474873,7.6787
1.73168,0.475035,7.6922
1.73168,0.476246,7.68155
1.73168,0.476611,7.6963
1.73168,0.475788,7.69468
1.73168,0.477105,7.69565
1.73168,0.475913,7.68285
1.73168,0.476403,7.70002
1.73168,0.47569,7.69009
1.80094,0.472261,7.69135
1.80094,0.47088,7.6901
1.80094,0.471583,7.68649
1.80094,0.472857,7.7011
1.80094,0.471216,7.69653
1.80094,0.470763,7.67985
1.80094,0.471501,7.70432
1.80094,0.471515,7.69738
1.80094,0.470577,7.69912
1.80094,0.471051,7.6977
1.80094,0.473566,7.70552
1.80094,0.471095,7.70038
1.80094,0.471785,7.70251
1.80094,0.471736,7.70715
1.80094,0.470392,7.67983
1.87298,0.466361,7.69823
1.87298,0.466617,7.69686
1.87298,0.467173,7.70624
1.87298,0.467368,7.69691
1.87298,0.467551,7.70113
1.87298,0.465766,7.68356
1.87298,0.465167,7.68616
1.87298,0.467556,7.68447
1.87298,0.467841,7.70665
1.87298,0.467,7.69267
1.87298,0.467637,7.69575
1.87298,0.467673,7.68673
1.87298,0.468217,7.70211
1.87298,0.468262,7.69674
1.87298,0.467091,7.69471
1.9479,0.461856,7.70525
1.9479,0.463324,7.68779
1.9479,0.46274,7.71388
1.9479,0.462795,7.7033
1.9479,0.461978,7.70642
1.9479,0.461135,7.69097
1.9479,0.462951,7.69191
1.9479,0.462904,7.70715
1.9479,0.462961,7.70044
1.9479,0.463306,7.70152
1.9479,0.461898,7.69769
1.9479,0.461935,7.6908
1.9479,0.461051,7.69788
1.9479,0.462004,7.70784
1.9479,0.461623,7.69511
2.02582,0.457916,7.69386
2.02582,0.457366,7.68597
2.02582,0.458966,7.70271
2.02582,0.457014,7.69462
2.02582,0.457701,7.70231
2.02582,0.457195,7.67592
2.02582,0.456509,7.70118
2.02582,0.457601,7.69388
2.02582,0.457897,7.68713
2.02582,0.456014,7.69412
2.02582,0.456628,7.6836
2.02582,0.457746,7.6902
2.02582,0.458193,7.69521
2.02582,0.456852,7.67651
2.02582,0.457443,7.70404
2.10685,0.451221,7.69191
2.10685,0.451809,7.71072
2.10685,0.452482,7.70076
2.10685,0.453335,7.69536
2.10685,0.4523,7.69959
2.10685,0.453075,7.69145
2.10685,0.45243,7.70544
2.10685,0.450949,7.68212
2.10685,0.452898,7.69293
2.10685,0.453043,7.71044
2.10685,0.452458,7.68148
2.10685,0.451848,7.69562
2.10685,0.452906,7.70472
2.10685,0.45275,7.6981
2.10685,0.4525,7.6945
2.19112,0.448849,7.70051
2.19112,0.447764,7.6996
2.19112,0.447497,7.70785
2.19112,0.448332,7.67653
2.19112,0.447673,7.70216
2.19112,0.44732,7.69239
2.19112,0.448737,7.69767
2.19112,0.447523,7.6944
2.19112,0.447966,7.69515
2.19112,0.44846,7.69429
2.19112,0.44766,7.68269
2.19112,0.448097,7.70566
2.19112,0.447752,7.68726
2.19112,0.447613,7.6931
2.19112,0.44831,7.70232
2.27877,0.443397,7.69362
2.27877,0.444305,7.70403
2.27877,0.443194,7.70759
2.27877,0.444302,7.7186
2.27877,0.442879,7.69985
2.27877,0.443318,7.68264
2.27877,0.443022,7.70115
2.27877,0.442024,7.68311
2.27877,0.44363,7.70204
2.27877,0.442519,7.67603
2.27877,0.442575,7.69441
2.27877,0.442148,7.70176
2.27877,0.443915,7.69549
2.27877,0.44318,7.69427
2.27877,0.443601,7.70418
2.36992,0.438965,7.71618
2.36992,0.438727,7.70986
2.36992,0.438111,7.6996
2.36992,0.438067,7.6894
2.36992,0.437409,7.67477
2.36992,0.437588,7.67861
2.36992,0.438046,7.69273
2.36992,0.437912,7.67575
2.36992,0.437403,7.68761
2.36992,0.438914,7.70408
2.36992,0.438918,7.69963
2.36992,0.439044,7.68984
2.36992,0.437756,7.70783
2.36992,0.439147,7.70698
2.36992,0.438395,7.70717
2.46472,0.432235,7.68056
2.46472,0.432102,7.67852
2.46472,0.433681,7.70014
2.46472,0.43271,7.69323
2.46472,0.43171,7.67107
2.46472,0.433943,7.71368
2.46472,0.432365,7.67659
2.46472,0.434291,7.69396
2.46472,0.433477,7.71059
2.46472,0.433176,7.70806
2.46472,0.432998,7.69189
2.46472,0.432007,7.70824
2.46472,0.432051,7.69162
2.46472,0.433605,7.71325
2.46472,0.433213,7.70149
2.5633,0.428149,7.68521
2.5633,0.428402,7.69792
2.5633,0.428436,7.70249
2.5633,0.426869,7.70687
2.5633,0.429407,7.68848
2.5633,0.427846,7.69302
2.5633,0.429079,7.70538
2.5633,0.427396,7.68819
2.5633,0.426877,7.69003
2.5633,0.427817,7.69401
2.5633,0.428304,7.6974
2.5633,0.428567,7.70505
2.5633,0.427106,7.69463
2.5633,0.427779,7.68199
2.5633,0.426851,7.67149
2.66584,0.423492,7.70401
2.66584,0.421987,7.68088
2.66584,0.423607,7.69641
2.66584,0.422663,7.68863
2.66584,0.423322,7.68809
2.66584,0.422916,7.68372
2.66584,0.422909,7.69754
2.66584,0.423153,7.70891
2.66584,0.422394,7.70016
2.66584,0.42266,7.6844
2.66584,0.422625,7.68648
2.66584,0.423797,7.70914
2.66584,0.423392,7.69699
2.66584,0.42184,7.68949
2.66584,0.422332,7.68311
2.77247,0.417027,7.69983
2.77247,0.417039,7.69546
2.77247,0.417621,7.69453
2.77247,0.417512,7.7048
2.77247,0.418449,7.69834
2.77247,0.418174,7.69274
2.77247,0.417082,7.6869
2.77247,0.418001,7.70224
2.77247,0.417173,7.68993
2.77247,0.418174,7.68032
2.77247,0.418779,7.71501
2.77247,0.417208,7.69074
2.77247,0.418211,7.69536
2.77247,0.417242,7.67749
2.77247,0.416883,7.6979
