# Start of simulation: Sat Mar 19 19:46:45 2016
beta,acc,obs
1,0.534171,7.68791
1,0.535085,7.65967
1,0.534986,7.67474
1,0.534893,7.67798
1,0.536574,7.69305
1,0.534918,7.68073
1,0.533575,7.67181
1,0.536176,7.68556
1,0.534626,7.67497
1,0.533814,7.6798
1,0.534078,7.67388
1,0.534865,7.66776
1,0.535774,7.70418
1,0.535658,7.69475
1,0.535325,7.68895
1.04,0.532085,7.67815
1.04,0.530335,7.67187
1.04,0.531966,7.67986
1.04,0.530253,7.67997
1.04,0.531565,7.68446
1.04,0.53061,7.66866
1.04,0.532355,7.68393
1.04,0.531236,7.67279
1.04,0.531723,7.69017
1.04,0.531864,7.6903
1.04,0.531595,7.66846
1.04,0.530692,7.68728
1.04,0.531204,7.66991
1.04,0.531573,7.67483
1.04,0.531145,7.67242
1.0816,0.526591,7.68454
1.0816,0.527766,7.6962
1.0816,0.527239,7.67802
1.0816,0.526406,7.68283
1.0816,0.526199,7.67081
1.0816,0.526722,7.68232
1.0816,0.527294,7.68285
1.0816,0.52808,7.68835
1.0816,0.527506,7.69152
1.0816,0.528317,7.68644
1.0816,0.526426,7.67836
1.0816,0.526183,7.67563
1.0816,0.526674,7.69221
1.0816,0.526173,7.68819
1.0816,0.526599,7.68398
1.12486,0.523599,7.68348
1.12486,0.523406,7.68795
1.12486,0.524409,7.67245
1.12486,0.52387,7.68134
1.12486,0.52284,7.69033
1.12486,0.524072,7.70113
1.12486,0.521906,7.68236
1.12486,0.522589,7.6773
1.12486,0.523073,7.68895
1.12486,0.523172,7.68235
1.12486,0.522277,7.66361
1.12486,0.522728,7.66899
1.12486,0.52372,7.69195
1.12486,0.523166,7.69374
1.12486,0.52394,7.69582
1.16986,0.517775,7.68557
1.16986,0.51902,7.6783
1.16986,0.518633,7.68539
1.16986,0.51936,7.68494
1.16986,0.518548,7.66881
1.16986,0.519871,7.67909
1.16986,0.519649,7.70453
1.16986,0.518377,7.68536
1.16986,0.518781,7.6866
1.16986,0.519233,7.69366
1.16986,0.518771,7.69145
1.16986,0.518398,7.68344
1.16986,0.519222,7.69314
1.16986,0.519947,7.68113
1.16986,0.519783,7.69478
1.21665,0.515188,7.68719
1.21665,0.515476,7.69586
1.21665,0.514735,7.7013
1.21665,0.515293,7.69557
1.21665,0.515609,7.70271
1.21665,0.51507,7.69229
1.21665,0.514186,7.68352
1.21665,0.515206,7.68161
1.21665,0.515323,7.68611
1.21665,0.514799,7.69327
1.21665,0.514114,7.67794
1.21665,0.514769,7.69534
1.21665,0.514322,7.68752
1.21665,0.515174,7.68101
1.21665,0.515783,7.67954
1.26532,0.509762,7.69149
1.26532,0.511571,7.68992
1.26532,0.511488,7.69449
1.26532,0.512106,7.68337
1.26532,0.510782,7.68453
1.26532,0.509968,7.67673
1.26532,0.512408,7.69539
1.26532,0.510604,7.68858
1.26532,0.510928,7.68131
1.26532,0.511899,7.69236
1.26532,0.510964,7.694
1.26532,0.511355,7.6865
1.26532,0.510615,7.69075
1.26532,0.510913,7.68888
1.26532,0.510881,7.69655
1.31593,0.507856,7.70109
1.31593,0.506978,7.69547
1.31593,0.507411,7.70124
1.31593,0.507213,7.691
1.31593,0.506261,7.68373
1.31593,0.507213,7.69278
1.31593,0.506809,7.67925
1.31593,0.506838,7.69077
1.31593,0.506905,7.69074
1.31593,0.50545,7.68342
1.31593,0.507166,7.67549
1.31593,0.507869,7.70287
1.31593,0.505957,7.67336
1.31593,0.506969,7.67836
1.31593,0.507661,7.69688
1.36857,0.503079,7.68965
1.36857,0.501924,7.68049
1.36857,0.500915,7.67487
1.36857,0.502764,7.69297
1.36857,0.502486,7.68666
1.36857,0.501902,7.68095
1.36857,0.501547,7.67649
1.36857,0.502248,7.69364
1.36857,0.50337,7.701
1.36857,0.503468,7.70009
1.36857,0.503658,7.69951
1.36857,0.502195,7.68439
1.36857,0.502494,7.68731
1.36857,0.501649,7.69578
1.36857,0.503447,7.69148
1.42331,0.497475,7.68655
1.42331,0.498353,7.69954
1.42331,0.497519,7.68588
1.42331,0.498144,7.68487
1.42331,0.499184,7.70722
1.42331,0.497529,7.67941
1.42331,0.498656,7.69195
1.42331,0.497867,7.67506
1.42331,0.498021,7.69758
1.42331,0.497019,7.68396
1.42331,0.497756,7.69908
1.42331,0.498112,7.68549
1.42331,0.497453,7.69349
1.42331,0.497771,7.69604
1.42331,0.499092,7.70735
1.48024,0.493468,7.69004
1.48024,0.493634,7.69762
1.48024,0.494187,7.69038
1.48024,0.49442,7.68952
1.48024,0.4943,7.70374
1.48024,0.494617,7.68858
1.48024,0.491891,7.68723
1.48024,0.495619,7.69769
1.48024,0.493654,7.68428
1.48024,0.492758,7.692
1.48024,0.493748,7.71381
1.48024,0.494499,7.68604
1.48024,0.493923,7.70344
1.48024,0.494681,7.68874
1.48024,0.4946,7.69661
1.53945,0.489734,7.68524
1.53945,0.490158,7.701
1.53945,0.489368,7.68086
1.53945,0.489075,7.70238
1.53945,0.490521,7.69719
1.53945,0.489773,7.7007
1.53945,0.489689,7.68318
1.53945,0.490137,7.70018
1.53945,0.489492,7.69423
1.53945,0.489866,7.70423
1.53945,0.489704,7.68195
1.53945,0.487489,7.69135
1.53945,0.490192,7.7082
1.53945,0.488974,7.704
1.53945,0.490057,7.69611
1.60103,0.484599,7.70531
1.60103,0.485502,7.69376
1.60103,0.484889,7.69523
1.60103,0.485781,7.70022
1.60103,0.485641,7.68296
1.60103,0.484378,7.69456
1.60103,0.484448,7.70576
1.60103,0.484516,7.68921
1.60103,0.484629,7.69626
1.60103,0.48517,7.69175
1.60103,0.485476,7.69979
1.60103,0.486274,7.69741
1.60103,0.48522,7.70244
1.60103,0.486009,7.6932
1.60103,0.485533,7.70262
1.66507,0.480898,7.67558
1.66507,0.481183,7.69534
1.66507,0.480425,7.69156
1.66507,0.479243,7.69996
1.66507,0.480116,7.6837
1.66507,0.479858,7.6716
1.66507,0.480288,7.697
1.66507,0.481036,7.68291
1.66507,0.481181,7.69083
1.66507,0.48196,7.7017
1.66507,0.481307,7.68553
1.66507,0.479541,7.70618
1.66507,0.479613,7.69164
1.66507,0.481481,7.69562
1.66507,0.480614,7.6983
1.73168,0.476072,7.69038
1.73168,0.475835,7.68267
1.73168,0.477765,7.70855
1.73168,0.476275,7.68069
1.73168,0.476667,7.69109
1.73168,0.47537,7.6923
1.73168,0.475652,7.68916
1.73168,0.477218,7.68188
1.73168,0.475966,7.70169
1.73168,0.477538,7.72266
1.73168,0.476554,7.69016
1.73168,0.476429,7.6964
1.73168,0.476065,7.70546
1.73168,0.475627,7.69051
1.73168,0.476324,7.70517
1.80094,0.471381,7.69162
1.80094,0.471349,7.69291
1.80094,0.471521,7.6833
1.80094,0.470949,7.69855
1.80094,0.470948,7.69853
1.80094,0.472013,7.68886
1.80094,0.472239,7.688
1.80094,0.471469,7.69113
1.80094,0.47248,7.69704
1.80094,0.471729,7.68421
1.80094,0.471398,7.69528
1.80094,0.471758,7.69399
1.80094,0.472208,7.71412
1.80094,0.472718,7.6971
1.80094,0.472772,7.69835
1.87298,0.467146,7.69818
1.87298,0.466766,7.70015
1.87298,0.46659,7.68795
1.87298,0.465992,7.68751
1.87298,0.46738,7.69016
1.87298,0.466161,7.69086
1.87298,0.466276,7.69338
1.87298,0.467968,7.69887
1.87298,0.46821,7.70618
1.87298,0.467019,7.71138
1.87298,0.467758,7.70726
1.87298,0.466935,7.68687
1.87298,0.467803,7.70394
1.87298,0.467383,7.69345
1.87298,0.465062,7.67811
1.9479,0.46186,7.70327
1.9479,0.46173,7.69073
1.9479,0.461375,7.69673
1.9479,0.463321,7.71596
1.9479,0.460984,7.68906
1.9479,0.461903,7.71421
1.9479,0.461227,7.69816
1.9479,0.461901,7.69657
1.9479,0.46175,7.69312
1.9479,0.461194,7.68897
1.9479,0.462545,7.70846
1.9479,0.46299,7.70496
1.9479,0.461491,7.69412
1.9479,0.46148,7.69901
1.9479,0.462382,7.69401
2.02582,0.458228,7.70736
2.02582,0.457518,7.68928
2.02582,0.457936,7.70221
2.02582,0.458922,7.70068
2.02582,0.458217,7.69072
2.02582,0.458095,7.70718
2.02582,0.457184,7.69405
2.02582,0.45701,7.6976
2.02582,0.457133,7.68852
2.02582,0.457958,7.69134
2.02582,0.456817,7.67744
2.02582,0.456694,7.6924
2.02582,0.457921,7.69459
2.02582,0.456794,7.69046
2.02582,0.457388,7.69914
2.10685,0.453825,7.68527
2.10685,0.451728,7.68778
2.10685,0.452665,7.6834
2.10685,0.452339,7.67777
2.10685,0.451851,7.6889
2.10685,0.454658,7.69207
2.10685,0.453549,7.69952
2.10685,0.452641,7.70332
2.10685,0.452946,7.68385
2.10685,0.452417,7.68917
2.10685,0.453781,7.70413
2.10685,0.452877,7.69621
2.10685,0.453057,7.7119
2.10685,0.452506,7.69096
2.10685,0.452715,7.70204
2.19112,0.447795,7.68738
2.19112,0.449343,7.70009
2.19112,0.447603,7.68756
2.19112,0.447912,7.69163
2.19112,0.448113,7.69754
2.19112,0.447848,7.6957
2.19112,0.44866,7.69922
2.19112,0.447073,7.68509
2.19112,0.447895,7.70575
2.19112,0.447549,7.70463
2.19112,0.447462,7.69509
2.19112,0.448168,7.69696
2.19112,0.44814,7.69539
2.19112,0.448786,7.69877
2.19112,0.447493,7.69971
2.27877,0.443366,7.70058
2.27877,0.442787,7.68691
2.27877,0.44307,7.69871
2.27877,0.44397,7.69804
2.27877,0.44264,7.68176
2.27877,0.442711,7.69839
2.27877,0.442683,7.68014
2.27877,0.442271,7.68675
2.27877,0.442729,7.68714
2.27877,0.442975,7.70394
2.27877,0.443461,7.69952
2.27877,0.442614,7.69453
2.27877,0.443201,7.68946
2.27877,0.444147,7.70725
2.27877,0.443763,7.6847
2.36992,0.437646,7.69427
2.36992,0.438752,7.70273
2.36992,0.43847,7.6975
2.36992,0.438857,7.70835
2.36992,0.43773,7.69037
2.36992,0.439036,7.70005
2.36992,0.438407,7.7085
2.36992,0.438657,7.69761
2.36992,0.437662,7.68873
2.36992,0.437754,7.68261
2.36992,0.436258,7.70583
2.36992,0.438676,7.69769
2.36992,0.438543,7.68061
2.36992,0.437625,7.68981
2.36992,0.437348,7.69529
2.46472,0.432456,7.69541
2.46472,0.432682,7.69403
2.46472,0.432532,7.6804
2.46472,0.432684,7.68811
2.46472,0.432862,7.70014
2.46472,0.433002,7.7049
2.46472,0.432506,7.68819
2.46472,0.43312,7.68798
2.46472,0.433375,7.6802
2.46472,0.433269,7.69701
2.46472,0.434273,7.69946
2.46472,0.433517,7.69066
2.46472,0.432905,7.70812
2.46472,0.432415,7.68604
2.46472,0.433466,7.69774
2.5633,0.428586,7.70501
2.5633,0.42866,7.68469
2.5633,0.427456,7.68894
2.5633,0.427823,7.70367
2.5633,0.428637,7.69692
2.5633,0.428978,7.69982
2.5633,0.427762,7.68774
2.5633,0.428177,7.71362
2.5633,0.427561,7.68294
2.5633,0.427822,7.6957
2.5633,0.427291,7.68761
2.5633,0.426736,7.69553
2.5633,0.428305,7.68834
2.5633,0.429057,7.7066
2.5633,0.427434,7.68149
2.66584,0.423689,7.69959
2.66584,0.424089,7.71134
2.66584,0.42218,7.69059
2.66584,0.422301,7.70094
2.66584,0.42237,7.68808
2.66584,0.422365,7.68177
2.66584,0.422687,7.6971
2.66584,0.423192,7.711
2.66584,0.422281,7.67737
2.66584,0.424032,7.69675
2.66584,0.424413,7.7159
2.66584,0.42081,7.67799
2.66584,0.421574,7.68948
2.66584,0.42293,7.68692
2.66584,0.423543,7.68745
2.77247,0.417185,7.69179
2.77247,0.419091,7.69818
2.77247,0.416218,7.68174
2.77247,0.418579,7.70059
2.77247,0.417137,7.69374
2.77247,0.416622,7.6885
2.77247,0.418775,7.71365
2.77247,0.417977,7.68475
2.77247,0.416578,7.69787
2.77247,0.417313,7.67344
2.77247,0.417397,7.68179
2.77247,0.41855,7.68724
2.77247,0.418046,7.69302
2.77247,0.418025,7.69533
2.77247,0.417116,7.68923
2.88337,0.412223,7.69622
2.88337,0.412826,7.69763
2.88337,0.412068,7.70034
2.88337,0.411881,7.68165
2.88337,0.412651,7.68077
2.88337,0.412401,7.70269
2.88337,0.413213,7.70172
2.88337,0.412388,7.69677
2.88337,0.411395,7.68152
2.88337,0.41257,7.68458
2.88337,0.4131,7.70043
2.88337,0.412223,7.68553
