# Start of simulation: Sat Mar 19 17:43:13 2016
beta,acc,obs
1,0.535106,7.67888
1,0.534334,7.67767
1,0.535463,7.6746
1,0.535882,7.69502
1,0.535742,7.69851
1,0.535423,7.68226
1,0.534752,7.67458
1,0.534915,7.66632
1,0.535259,7.66009
1,0.535024,7.68534
1,0.534784,7.67729
1,0.534534,7.66876
1,0.536199,7.69584
1,0.535675,7.67857
1,0.533643,7.67639
1.04,0.529754,7.67724
1.04,0.531182,7.68761
1.04,0.530284,7.69146
1.04,0.530307,7.68959
1.04,0.532058,7.68744
1.04,0.530438,7.67662
1.04,0.530296,7.68925
1.04,0.531296,7.68776
1.04,0.531443,7.68184
1.04,0.531168,7.68386
1.04,0.531175,7.68255
1.04,0.531821,7.69998
1.04,0.531948,7.68301
1.04,0.531079,7.68982
1.04,0.531291,7.68559
1.0816,0.526987,7.68567
1.0816,0.526722,7.67439
1.0816,0.527305,7.67844
1.0816,0.528172,7.70246
1.0816,0.527971,7.69579
1.0816,0.527711,7.68459
1.0816,0.525949,7.67766
1.0816,0.525777,7.68007
1.0816,0.526847,7.67431
1.0816,0.526549,7.68793
1.0816,0.525806,7.67237
1.0816,0.526271,7.68295
1.0816,0.528714,7.69635
1.0816,0.527031,7.6792
1.0816,0.526111,7.67086
1.12486,0.522254,7.66439
1.12486,0.522117,7.6885
1.12486,0.523585,7.6775
1.12486,0.524146,7.67889
1.12486,0.523787,7.68776
1.12486,0.522321,7.68071
1.12486,0.524011,7.68755
1.12486,0.523612,7.70211
1.12486,0.523674,7.67319
1.12486,0.523133,7.68893
1.12486,0.523305,7.68663
1.12486,0.52348,7.68022
1.12486,0.523108,7.69034
1.12486,0.523383,7.67982
1.12486,0.524144,7.69329
1.16986,0.518764,7.69197
1.16986,0.51934,7.69583
1.16986,0.518071,7.6837
1.16986,0.518785,7.69344
1.16986,0.519334,7.66793
1.16986,0.520464,7.69017
1.16986,0.519033,7.69351
1.16986,0.519876,7.70096
1.16986,0.52126,7.70361
1.16986,0.519778,7.69209
1.16986,0.518787,7.68823
1.16986,0.520356,7.69942
1.16986,0.518438,7.69
1.16986,0.518042,7.68796
1.16986,0.519364,7.68067
1.21665,0.515602,7.67402
1.21665,0.514914,7.67676
1.21665,0.514962,7.68293
1.21665,0.515949,7.6928
1.21665,0.516119,7.68006
1.21665,0.514437,7.68525
1.21665,0.516179,7.69541
1.21665,0.514408,7.68094
1.21665,0.514596,7.68802
1.21665,0.514491,7.6945
1.21665,0.514434,7.68481
1.21665,0.51475,7.68285
1.21665,0.515093,7.69613
1.21665,0.514195,7.68193
1.21665,0.516216,7.69996
1.26532,0.511643,7.68773
1.26532,0.511547,7.70349
1.26532,0.509817,7.68266
1.26532,0.513078,7.68673
1.26532,0.510836,7.68933
1.26532,0.511515,7.70311
1.26532,0.510963,7.682
1.26532,0.511715,7.69264
1.26532,0.512496,7.68695
1.26532,0.512277,7.70108
1.26532,0.511962,7.68927
1.26532,0.511263,7.67102
1.26532,0.510913,7.68462
1.26532,0.512777,7.69617
1.26532,0.51073,7.68849
1.31593,0.505246,7.68382
1.31593,0.506711,7.69268
1.31593,0.507219,7.68185
1.31593,0.507155,7.70796
1.31593,0.50662,7.69577
1.31593,0.507405,7.68984
1.31593,0.506436,7.68311
1.31593,0.507298,7.69828
1.31593,0.506259,7.67135
1.31593,0.507835,7.70614
1.31593,0.507072,7.6887
1.31593,0.506747,7.68644
1.31593,0.506613,7.68211
1.31593,0.507159,7.67915
1.31593,0.508004,7.69668
1.36857,0.501994,7.68763
1.36857,0.502707,7.68396
1.36857,0.502094,7.6925
1.36857,0.502861,7.69078
1.36857,0.50109,7.67584
1.36857,0.501833,7.6806
1.36857,0.503392,7.69382
1.36857,0.502208,7.69417
1.36857,0.502381,7.69566
1.36857,0.501183,7.66477
1.36857,0.502059,7.68877
