# Start of simulation: Sat Mar 19 14:39:13 2016
beta,acc,obs
1,0.534947,7.67649
1,0.535169,7.67611
1,0.533982,7.66105
1,0.534665,7.68174
1,0.535556,7.67183
1,0.535958,7.69019
1,0.535138,7.68275
1,0.535887,7.68963
1,0.535683,7.67687
1,0.536266,7.68359
1,0.535552,7.68616
1,0.535543,7.68417
1,0.53446,7.67273
1,0.535651,7.68813
1,0.534592,7.66138
1.04,0.531107,7.67034
1.04,0.532148,7.68896
1.04,0.531653,7.68092
1.04,0.531666,7.68937
1.04,0.532426,7.68894
1.04,0.530857,7.67012
1.04,0.531401,7.68504
1.04,0.530727,7.69415
1.04,0.531286,7.69167
1.04,0.531222,7.6725
1.04,0.530394,7.67094
1.04,0.530794,7.68195
1.04,0.531514,7.69135
1.04,0.530942,7.68218
1.04,0.531971,7.70241
1.0816,0.527326,7.6844
1.0816,0.526101,7.66837
1.0816,0.527493,7.68904
1.0816,0.528227,7.68343
1.0816,0.525877,7.68532
1.0816,0.527344,7.68672
1.0816,0.527626,7.68662
1.0816,0.527015,7.68364
1.0816,0.526401,7.66822
1.0816,0.527847,7.6894
1.0816,0.527166,7.69201
1.0816,0.527338,7.67868
1.0816,0.528035,7.68627
1.0816,0.527307,7.68265
1.0816,0.527688,7.68797
1.12486,0.522395,7.677
1.12486,0.524351,7.69157
1.12486,0.52309,7.68318
1.12486,0.524118,7.68368
1.12486,0.524235,7.71303
1.12486,0.522399,7.68479
1.12486,0.522703,7.67829
1.12486,0.522711,7.68235
1.12486,0.523152,7.68312
1.12486,0.523814,7.69525
1.12486,0.524081,7.68408
1.12486,0.523333,7.69489
1.12486,0.523508,7.69518
1.12486,0.523624,7.68699
1.12486,0.523342,7.69464
1.16986,0.520328,7.69678
1.16986,0.520383,7.68948
1.16986,0.518615,7.68577
1.16986,0.51985,7.67572
1.16986,0.518984,7.68075
1.16986,0.518644,7.69038
1.16986,0.517598,7.68396
1.16986,0.518634,7.6819
1.16986,0.518768,7.69338
1.16986,0.519946,7.68627
1.16986,0.520289,7.6782
1.16986,0.519122,7.69857
1.16986,0.518106,7.68599
1.16986,0.518964,7.69672
1.16986,0.518598,7.68124
1.21665,0.515852,7.67723
1.21665,0.515119,7.68536
1.21665,0.514797,7.68221
1.21665,0.514352,7.67547
1.21665,0.515594,7.69746
1.21665,0.513713,7.68127
1.21665,0.515356,7.69277
1.21665,0.515149,7.68993
1.21665,0.515146,7.67463
1.21665,0.515218,7.69382
1.21665,0.513725,7.68456
1.21665,0.515554,7.69095
1.21665,0.514984,7.6873
1.21665,0.515067,7.692
1.21665,0.515433,7.69975
1.26532,0.50904,7.68744
1.26532,0.510436,7.67897
1.26532,0.510139,7.68865
1.26532,0.511358,7.70176
1.26532,0.509221,7.6798
1.26532,0.512295,7.69649
1.26532,0.511111,7.68923
1.26532,0.510542,7.6894
1.26532,0.510385,7.67089
1.26532,0.510887,7.69335
1.26532,0.511985,7.69262
1.26532,0.512014,7.68488
1.26532,0.511628,7.69669
1.26532,0.512351,7.68891
1.26532,0.510922,7.69592
1.31593,0.506946,7.67225
1.31593,0.506794,7.69361
