# Start of simulation: Sun Mar 20 19:25:19 2016
beta,acc,obs
1,0.628693,5.01211
1,0.629028,5.01559
1,0.629248,5.01659
1,0.628515,5.01911
1,0.629238,5.0125
1,0.627911,5.01656
1,0.629458,5.01715
1,0.628259,5.01609
1,0.628572,5.01244
1,0.629068,5.01227
1,0.627869,5.01448
1,0.628255,5.0166
1,0.627668,5.01376
1,0.627721,5.01923
1,0.628718,5.01657
1.04,0.624062,5.02062
1.04,0.623698,5.01581
1.04,0.623179,5.01134
1.04,0.623507,5.01401
1.04,0.623632,5.01502
1.04,0.622715,5.01652
1.04,0.623946,5.01422
1.04,0.623454,5.01456
1.04,0.623479,5.01024
1.04,0.623285,5.01367
1.04,0.622125,5.01577
1.04,0.623838,5.01599
1.04,0.623957,5.01622
1.04,0.624413,5.01902
1.04,0.623946,5.01784
1.0816,0.618148,5.0173
1.0816,0.619461,5.01884
1.0816,0.6184,5.02044
1.0816,0.619706,5.01951
1.0816,0.617839,5.01403
1.0816,0.619099,5.02281
1.0816,0.617777,5.01685
1.0816,0.618196,5.01834
1.0816,0.618667,5.01899
1.0816,0.618248,5.01645
1.0816,0.618327,5.0155
1.0816,0.618974,5.02034
1.0816,0.617914,5.02066
1.0816,0.618664,5.02001
1.0816,0.617783,5.01568
1.12486,0.61258,5.01803
1.12486,0.612583,5.0133
1.12486,0.613662,5.01833
1.12486,0.613268,5.01344
1.12486,0.613382,5.02249
1.12486,0.613926,5.01882
1.12486,0.613453,5.01984
1.12486,0.612332,5.01588
1.12486,0.612572,5.01998
1.12486,0.612553,5.0169
1.12486,0.614175,5.02054
1.12486,0.612436,5.02021
1.12486,0.612855,5.01767
1.12486,0.613721,5.01465
1.12486,0.612079,5.01229
1.16986,0.60796,5.02162
1.16986,0.60808,5.02213
1.16986,0.608061,5.01468
1.16986,0.607008,5.02121
1.16986,0.607155,5.01534
1.16986,0.607779,5.01904
1.16986,0.608062,5.02379
1.16986,0.608921,5.02326
1.16986,0.607949,5.02436
1.16986,0.608005,5.02244
1.16986,0.608734,5.0224
1.16986,0.607878,5.0164
1.16986,0.608033,5.01406
1.16986,0.607178,5.01466
1.16986,0.608569,5.01727
1.21665,0.602413,5.01492
1.21665,0.602374,5.0278
1.21665,0.601997,5.0192
1.21665,0.601911,5.01557
1.21665,0.602271,5.01913
1.21665,0.603397,5.024
1.21665,0.602941,5.02036
1.21665,0.602439,5.01763
1.21665,0.602207,5.01444
1.21665,0.60091,5.01524
1.21665,0.60231,5.01607
1.21665,0.602679,5.01998
1.21665,0.602626,5.01925
1.21665,0.602281,5.02433
1.21665,0.602186,5.01991
1.26532,0.596842,5.02221
1.26532,0.597967,5.02135
1.26532,0.596833,5.02157
1.26532,0.596667,5.01662
1.26532,0.597462,5.01991
1.26532,0.596356,5.02218
1.26532,0.596231,5.01699
1.26532,0.597423,5.0176
1.26532,0.597596,5.02017
1.26532,0.5971,5.02016
1.26532,0.596971,5.01756
1.26532,0.596616,5.01755
1.26532,0.597645,5.01883
1.26532,0.598245,5.02587
1.26532,0.597287,5.01894
1.31593,0.59136,5.01823
1.31593,0.592452,5.02428
1.31593,0.592561,5.02268
1.31593,0.591352,5.02433
1.31593,0.590787,5.01915
1.31593,0.591334,5.02467
1.31593,0.592673,5.02139
1.31593,0.591337,5.01767
1.31593,0.59145,5.02576
1.31593,0.591486,5.01882
1.31593,0.591076,5.01996
1.31593,0.592372,5.02075
1.31593,0.590382,5.02457
1.31593,0.591511,5.01954
1.31593,0.59176,5.01832
1.36857,0.585485,5.02238
1.36857,0.586318,5.02194
1.36857,0.586898,5.0263
1.36857,0.586288,5.01875
1.36857,0.585398,5.01957
1.36857,0.585892,5.02314
1.36857,0.586084,5.02474
1.36857,0.586137,5.01857
1.36857,0.585822,5.0222
1.36857,0.586272,5.01868
1.36857,0.586229,5.02614
1.36857,0.585534,5.01944
1.36857,0.585279,5.01981
1.36857,0.585289,5.02526
1.36857,0.586144,5.02617
1.42331,0.579692,5.02554
1.42331,0.579331,5.01953
1.42331,0.580995,5.01938
1.42331,0.580411,5.02369
1.42331,0.580805,5.02765
1.42331,0.580159,5.01999
1.42331,0.580542,5.02395
1.42331,0.581112,5.0228
1.42331,0.579813,5.02373
1.42331,0.580879,5.01907
1.42331,0.579684,5.0188
1.42331,0.580333,5.02185
1.42331,0.580773,5.02755
1.42331,0.580456,5.02261
1.42331,0.580267,5.02404
1.48024,0.573725,5.0184
1.48024,0.575365,5.02267
1.48024,0.575084,5.02179
1.48024,0.574919,5.02809
1.48024,0.573237,5.02555
1.48024,0.574719,5.02414
1.48024,0.574259,5.02389
1.48024,0.575299,5.02352
1.48024,0.574616,5.02219
1.48024,0.574346,5.02148
1.48024,0.574516,5.0257
1.48024,0.5742,5.02395
1.48024,0.573702,5.02134
1.48024,0.575717,5.02805
1.48024,0.575335,5.02611
1.53945,0.569164,5.02708
1.53945,0.568177,5.01976
1.53945,0.568691,5.01789
1.53945,0.56876,5.02328
1.53945,0.569487,5.02482
1.53945,0.570239,5.02707
1.53945,0.569843,5.0262
1.53945,0.569406,5.0271
1.53945,0.569166,5.0273
1.53945,0.569629,5.02792
1.53945,0.568796,5.02182
1.53945,0.568935,5.02157
1.53945,0.56816,5.02495
1.53945,0.569364,5.02507
1.53945,0.568922,5.02641
1.60103,0.563494,5.02676
1.60103,0.562988,5.02272
1.60103,0.562766,5.02013
1.60103,0.562787,5.0255
1.60103,0.565222,5.02466
1.60103,0.563501,5.02612
1.60103,0.562345,5.02542
1.60103,0.563447,5.02572
1.60103,0.563057,5.02812
1.60103,0.562535,5.02051
1.60103,0.564858,5.03087
1.60103,0.563728,5.02458
1.60103,0.562338,5.02415
1.60103,0.562905,5.02233
1.60103,0.562792,5.02437
1.66507,0.55689,5.02474
1.66507,0.556958,5.0263
1.66507,0.55685,5.02262
1.66507,0.55789,5.02714
1.66507,0.555776,5.02044
1.66507,0.557205,5.01955
1.66507,0.556312,5.02645
1.66507,0.557664,5.02128
1.66507,0.557676,5.02661
1.66507,0.557983,5.02849
1.66507,0.557464,5.01996
1.66507,0.556691,5.02901
1.66507,0.556426,5.02334
1.66507,0.556758,5.02315
1.66507,0.556591,5.02261
1.73168,0.55031,5.02224
1.73168,0.551148,5.02795
1.73168,0.550612,5.02341
1.73168,0.551201,5.02626
1.73168,0.551313,5.02705
1.73168,0.551578,5.02154
1.73168,0.551053,5.01949
1.73168,0.55077,5.02921
1.73168,0.551415,5.02674
1.73168,0.551006,5.02225
1.73168,0.550869,5.02049
1.73168,0.550668,5.02047
1.73168,0.551003,5.02832
1.73168,0.550943,5.02725
1.73168,0.551647,5.02489
1.80094,0.545276,5.03244
1.80094,0.544417,5.02731
1.80094,0.545167,5.02035
1.80094,0.544779,5.02504
1.80094,0.544718,5.02343
1.80094,0.545477,5.02895
1.80094,0.54471,5.02616
1.80094,0.545439,5.02863
1.80094,0.544068,5.02448
1.80094,0.543814,5.01979
1.80094,0.544247,5.02486
1.80094,0.544831,5.02604
1.80094,0.544838,5.03233
1.80094,0.545746,5.0256
1.80094,0.54544,5.03429
1.87298,0.537606,5.02281
1.87298,0.5396,5.0273
1.87298,0.538687,5.02576
1.87298,0.538332,5.02421
1.87298,0.538561,5.02739
1.87298,0.538497,5.0287
1.87298,0.539278,5.0281
1.87298,0.53921,5.02804
1.87298,0.539168,5.0287
1.87298,0.53767,5.01875
1.87298,0.53899,5.02865
1.87298,0.538139,5.02504
1.87298,0.53882,5.02858
1.87298,0.539306,5.02383
1.87298,0.538909,5.02453
1.9479,0.531885,5.02628
1.9479,0.531701,5.02692
1.9479,0.532624,5.02236
1.9479,0.53234,5.03073
1.9479,0.532203,5.02644
1.9479,0.532588,5.0291
1.9479,0.533117,5.03106
1.9479,0.533763,5.02954
1.9479,0.532698,5.0281
1.9479,0.532984,5.02842
1.9479,0.532316,5.02466
1.9479,0.531552,5.02605
1.9479,0.532797,5.0267
1.9479,0.531933,5.02809
1.9479,0.532928,5.03206
2.02582,0.525771,5.02391
2.02582,0.52545,5.0291
2.02582,0.527026,5.02374
2.02582,0.525145,5.02043
2.02582,0.526105,5.02493
2.02582,0.525982,5.02181
2.02582,0.526825,5.03012
2.02582,0.526042,5.02492
2.02582,0.526015,5.02545
2.02582,0.525306,5.02876
2.02582,0.52554,5.02621
2.02582,0.526263,5.02741
2.02582,0.52486,5.02706
2.02582,0.527306,5.0266
2.02582,0.526092,5.02554
2.10685,0.520296,5.02474
2.10685,0.519295,5.02352
2.10685,0.519128,5.02768
2.10685,0.520671,5.02833
2.10685,0.520525,5.03219
2.10685,0.519734,5.02443
2.10685,0.519812,5.03034
2.10685,0.520338,5.03184
2.10685,0.520832,5.03209
2.10685,0.519747,5.03033
2.10685,0.518792,5.02947
2.10685,0.518774,5.02673
2.10685,0.519509,5.02917
2.10685,0.520021,5.0234
2.10685,0.518706,5.02675
2.19112,0.513686,5.02663
2.19112,0.513083,5.02532
2.19112,0.512874,5.02789
2.19112,0.513711,5.03086
2.19112,0.513284,5.02635
2.19112,0.513312,5.02849
2.19112,0.513496,5.02731
2.19112,0.512945,5.02549
2.19112,0.513495,5.03261
2.19112,0.512632,5.02652
2.19112,0.513103,5.02769
2.19112,0.513403,5.02669
2.19112,0.513875,5.02371
2.19112,0.512052,5.02277
2.19112,0.513057,5.02662
2.27877,0.504979,5.02618
2.27877,0.506374,5.02105
2.27877,0.507524,5.0257
2.27877,0.506955,5.02843
2.27877,0.507672,5.03273
2.27877,0.506697,5.02888
2.27877,0.506233,5.02134
2.27877,0.506599,5.02634
2.27877,0.50583,5.01969
2.27877,0.507134,5.02947
2.27877,0.507264,5.03459
2.27877,0.507463,5.02738
2.27877,0.506939,5.02796
2.27877,0.506755,5.0267
2.27877,0.507512,5.02975
2.36992,0.499648,5.02701
2.36992,0.499865,5.03148
2.36992,0.499402,5.02528
2.36992,0.5001,5.0276
2.36992,0.500199,5.02429
2.36992,0.500046,5.01974
2.36992,0.500627,5.02788
2.36992,0.500346,5.02757
2.36992,0.49994,5.02582
2.36992,0.500939,5.03174
2.36992,0.499739,5.02796
2.36992,0.500187,5.02638
2.36992,0.499531,5.0283
2.36992,0.50005,5.02656
2.36992,0.499399,5.02735
2.46472,0.493861,5.02614
2.46472,0.493983,5.02807
2.46472,0.493612,5.03236
2.46472,0.492985,5.02458
2.46472,0.493541,5.02978
2.46472,0.494171,5.02662
2.46472,0.493904,5.02797
2.46472,0.493037,5.0303
2.46472,0.492829,5.02734
2.46472,0.493515,5.02715
2.46472,0.493091,5.03268
2.46472,0.492863,5.0251
2.46472,0.494277,5.02715
2.46472,0.492255,5.02666
2.46472,0.493349,5.0236
2.5633,0.486131,5.02835
2.5633,0.486514,5.03394
2.5633,0.48552,5.02619
2.5633,0.486231,5.02464
2.5633,0.485516,5.02261
2.5633,0.486386,5.02377
2.5633,0.487416,5.03166
2.5633,0.486002,5.0253
2.5633,0.486295,5.02186
2.5633,0.484483,5.02294
2.5633,0.48509,5.02859
2.5633,0.486947,5.03024
2.5633,0.486554,5.02932
2.5633,0.485678,5.02578
2.5633,0.486892,5.02995
2.66584,0.479444,5.02784
2.66584,0.480986,5.02763
2.66584,0.48035,5.03256
2.66584,0.477912,5.02591
2.66584,0.47882,5.0305
2.66584,0.478967,5.02771
2.66584,0.47904,5.02983
2.66584,0.479432,5.02232
2.66584,0.478066,5.02159
2.66584,0.478927,5.02554
2.66584,0.479324,5.02449
2.66584,0.479199,5.02834
2.66584,0.479279,5.0272
2.66584,0.479419,5.02569
2.66584,0.478554,5.02781
2.77247,0.471289,5.02519
2.77247,0.47168,5.02597
2.77247,0.471856,5.0247
2.77247,0.471669,5.02298
2.77247,0.472974,5.02932
2.77247,0.47225,5.02422
2.77247,0.471448,5.02
2.77247,0.471472,5.02706
2.77247,0.4728,5.02557
2.77247,0.47204,5.02976
2.77247,0.473142,5.02809
2.77247,0.472459,5.02606
2.77247,0.472361,5.02194
2.77247,0.471792,5.02421
2.77247,0.471478,5.02082
2.88337,0.466844,5.03245
2.88337,0.466719,5.03378
2.88337,0.465458,5.02255
2.88337,0.465795,5.01956
2.88337,0.46462,5.01782
2.88337,0.46441,5.01698
2.88337,0.466302,5.02324
2.88337,0.464738,5.02713
2.88337,0.465532,5.02184
2.88337,0.465048,5.02839
2.88337,0.466849,5.02774
2.88337,0.46581,5.02946
2.88337,0.465142,5.02709
2.88337,0.465859,5.02659
2.88337,0.465328,5.02799
2.9987,0.458087,5.02262
2.9987,0.458326,5.02005
2.9987,0.459235,5.02204
2.9987,0.458332,5.02268
2.9987,0.458995,5.02509
2.9987,0.457954,5.02234
2.9987,0.458852,5.02134
2.9987,0.458429,5.0264
2.9987,0.459258,5.02173
2.9987,0.458671,5.02669
2.9987,0.458244,5.02591
2.9987,0.458721,5.02068
2.9987,0.458632,5.02276
2.9987,0.459313,5.02806
2.9987,0.458389,5.02709
3.11865,0.450434,5.02329
3.11865,0.450695,5.02435
3.11865,0.451034,5.01874
3.11865,0.450692,5.02346
3.11865,0.450667,5.0192
3.11865,0.451306,5.01808
3.11865,0.451001,5.02706
3.11865,0.451682,5.02559
3.11865,0.450757,5.02012
3.11865,0.450251,5.01581
3.11865,0.450538,5.02091
3.11865,0.451121,5.02418
3.11865,0.450758,5.02119
3.11865,0.44995,5.02156
3.11865,0.451778,5.02718
3.2434,0.443746,5.02191
3.2434,0.443889,5.02423
3.2434,0.444363,5.02601
3.2434,0.443412,5.02342
3.2434,0.444326,5.01744
3.2434,0.443208,5.01963
3.2434,0.443483,5.02297
3.2434,0.443934,5.02713
3.2434,0.443273,5.02224
3.2434,0.44392,5.02283
3.2434,0.444613,5.02661
3.2434,0.444598,5.02635
3.2434,0.444093,5.02435
3.2434,0.443548,5.01943
3.2434,0.444118,5.02426
3.37313,0.436285,5.02945
3.37313,0.435891,5.01987
3.37313,0.437173,5.02767
3.37313,0.43648,5.02582
3.37313,0.436211,5.0207
3.37313,0.436691,5.02335
3.37313,0.436432,5.02664
3.37313,0.437036,5.02316
3.37313,0.436402,5.02249
3.37313,0.436868,5.02928
3.37313,0.434853,5.01519
3.37313,0.435046,5.0225
3.37313,0.436494,5.02188
3.37313,0.43603,5.01964
3.37313,0.436275,5.01992
3.50806,0.429764,5.02156
3.50806,0.428105,5.02116
3.50806,0.427284,5.01501
3.50806,0.429234,5.02001
3.50806,0.429711,5.01733
3.50806,0.429232,5.02029
3.50806,0.4297,5.02662
3.50806,0.429174,5.02136
3.50806,0.428505,5.01944
3.50806,0.428993,5.0197
3.50806,0.42881,5.02039
3.50806,0.429563,5.02611
3.50806,0.42902,5.0235
3.50806,0.429708,5.0213
3.50806,0.428815,5.01404
3.64838,0.421552,5.02029
3.64838,0.421965,5.0148
3.64838,0.421771,5.02001
3.64838,0.421215,5.01928
3.64838,0.421514,5.02627
3.64838,0.420803,5.02118
3.64838,0.421749,5.0218
3.64838,0.42135,5.02174
3.64838,0.421979,5.02073
3.64838,0.422318,5.02099
3.64838,0.422401,5.01799
3.64838,0.422489,5.02083
3.64838,0.421047,5.01629
3.64838,0.421506,5.01917
3.64838,0.420744,5.01579
3.79432,0.414141,5.01782
3.79432,0.414629,5.02055
3.79432,0.413195,5.01724
3.79432,0.413882,5.01528
3.79432,0.413323,5.01442
3.79432,0.414101,5.01851
3.79432,0.413937,5.02035
3.79432,0.413003,5.0155
3.79432,0.413777,5.02019
3.79432,0.413771,5.02127
3.79432,0.414076,5.02042
3.79432,0.413067,5.01583
3.79432,0.414741,5.02683
3.79432,0.414287,5.02124
3.79432,0.413513,5.01452
3.94609,0.407345,5.01579
3.94609,0.406794,5.02297
3.94609,0.407482,5.01899
3.94609,0.405569,5.01162
3.94609,0.405526,5.01871
3.94609,0.405768,5.01537
3.94609,0.406479,5.01893
3.94609,0.405465,5.00421
3.94609,0.407131,5.01635
3.94609,0.40707,5.02104
3.94609,0.406545,5.02023
3.94609,0.405481,5.01584
3.94609,0.406386,5.01615
3.94609,0.406698,5.01551
3.94609,0.406428,5.01307
4.10393,0.398445,5.01595
4.10393,0.399355,5.01149
4.10393,0.397957,5.0122
4.10393,0.397777,5.01046
4.10393,0.398303,5.01203
4.10393,0.397252,5.00843
4.10393,0.397811,5.01195
4.10393,0.398144,5.01573
4.10393,0.398589,5.01445
4.10393,0.398204,5.0117
4.10393,0.39857,5.01378
4.10393,0.398409,5.01583
4.10393,0.398615,5.012
4.10393,0.399227,5.01267
4.10393,0.399754,5.02009
4.26809,0.390617,5.00804
4.26809,0.390174,5.00729
4.26809,0.391173,5.01448
4.26809,0.391078,5.01473
4.26809,0.391211,5.01123
4.26809,0.391704,5.01425
4.26809,0.390369,5.00897
4.26809,0.390871,5.01602
4.26809,0.389596,5.00925
4.26809,0.391084,5.0184
