# Start of simulation: Sun Mar 20 14:01:41 2016
beta,acc,obs
1,0.627945,5.01535
1,0.628111,5.01404
1,0.627949,5.0143
1,0.628621,5.0188
1,0.629252,5.01336
1,0.629045,5.01862
1,0.628877,5.01621
1,0.629109,5.01175
1,0.628407,5.01161
1,0.628753,5.01634
1,0.629139,5.0155
1,0.62787,5.01094
1,0.628447,5.01527
1,0.628277,5.01518
1,0.628261,5.01731
1.04,0.623311,5.01542
1.04,0.62324,5.0122
1.04,0.623391,5.01729
1.04,0.62457,5.01819
1.04,0.623555,5.02052
1.04,0.624489,5.01885
1.04,0.623759,5.0173
1.04,0.62388,5.01547
1.04,0.623408,5.01899
1.04,0.624031,5.01597
1.04,0.624394,5.01487
1.04,0.623014,5.00947
1.04,0.623471,5.01528
1.04,0.623563,5.01742
1.04,0.621888,5.00869
1.0816,0.617793,5.01701
1.0816,0.61869,5.01914
1.0816,0.61905,5.01734
1.0816,0.618792,5.01156
1.0816,0.618079,5.01554
1.0816,0.619063,5.01533
1.0816,0.619079,5.02157
1.0816,0.61814,5.01752
1.0816,0.617991,5.01721
1.0816,0.617633,5.01675
1.0816,0.618757,5.01481
1.0816,0.618634,5.01346
1.0816,0.618627,5.01437
1.0816,0.617824,5.0171
1.0816,0.617127,5.00891
1.12486,0.613799,5.02382
1.12486,0.612725,5.01366
1.12486,0.612636,5.01691
1.12486,0.613285,5.01753
1.12486,0.613529,5.02057
1.12486,0.613282,5.01758
1.12486,0.612924,5.02463
1.12486,0.612896,5.01771
1.12486,0.613168,5.01932
1.12486,0.612652,5.01428
1.12486,0.613356,5.0185
1.12486,0.61208,5.01656
1.12486,0.613333,5.01887
1.12486,0.612886,5.01906
1.12486,0.612903,5.01501
1.16986,0.607636,5.01842
1.16986,0.607694,5.01808
1.16986,0.608218,5.01654
1.16986,0.608398,5.01969
1.16986,0.608269,5.02198
1.16986,0.606445,5.02005
1.16986,0.607314,5.01841
1.16986,0.607063,5.02086
1.16986,0.608254,5.02122
1.16986,0.607657,5.01745
1.16986,0.607293,5.01644
1.16986,0.608392,5.02059
1.16986,0.607388,5.02105
1.16986,0.608199,5.02361
1.16986,0.607587,5.01493
1.21665,0.602446,5.02455
1.21665,0.602343,5.02097
1.21665,0.601876,5.02536
1.21665,0.602675,5.0239
1.21665,0.601685,5.0174
1.21665,0.601483,5.01685
1.21665,0.602345,5.02024
1.21665,0.602471,5.02266
1.21665,0.602303,5.01635
1.21665,0.602836,5.02024
1.21665,0.601881,5.01787
1.21665,0.603431,5.02329
1.21665,0.602679,5.01992
1.21665,0.602381,5.0213
1.21665,0.602923,5.02238
1.26532,0.597,5.02138
1.26532,0.598439,5.02565
1.26532,0.59677,5.02205
1.26532,0.598256,5.02065
1.26532,0.596813,5.01804
1.26532,0.597794,5.02084
1.26532,0.597095,5.02228
1.26532,0.596966,5.01961
1.26532,0.596971,5.02178
1.26532,0.596816,5.01895
1.26532,0.596394,5.0174
1.26532,0.597258,5.02601
1.26532,0.596449,5.01882
1.26532,0.597551,5.02379
1.26532,0.597551,5.01763
1.31593,0.591557,5.02179
1.31593,0.590616,5.01874
1.31593,0.591178,5.02152
1.31593,0.591782,5.01636
1.31593,0.592506,5.02547
1.31593,0.59133,5.0257
1.31593,0.592504,5.02194
1.31593,0.591917,5.02064
1.31593,0.590449,5.0204
1.31593,0.592073,5.02187
1.31593,0.591991,5.01928
1.31593,0.592445,5.02772
1.31593,0.593088,5.02111
1.31593,0.589528,5.01838
1.31593,0.591562,5.02603
1.36857,0.585527,5.0138
1.36857,0.585739,5.02154
1.36857,0.585584,5.0197
1.36857,0.585376,5.02363
1.36857,0.586195,5.02214
1.36857,0.585445,5.01849
1.36857,0.585657,5.01929
1.36857,0.585355,5.01943
1.36857,0.586101,5.02218
1.36857,0.587223,5.02416
1.36857,0.586962,5.02338
1.36857,0.587485,5.02837
1.36857,0.585986,5.02297
1.36857,0.586168,5.02119
1.36857,0.585995,5.02242
1.42331,0.580853,5.0228
1.42331,0.580848,5.02249
1.42331,0.580973,5.02049
1.42331,0.580284,5.02436
1.42331,0.579755,5.02135
1.42331,0.580926,5.02461
1.42331,0.580054,5.01939
1.42331,0.579447,5.01635
1.42331,0.579294,5.01745
1.42331,0.580695,5.02243
1.42331,0.580817,5.02518
1.42331,0.580166,5.02647
1.42331,0.580578,5.02521
1.42331,0.580557,5.02761
1.42331,0.580412,5.02823
1.48024,0.574573,5.0223
1.48024,0.575459,5.02243
1.48024,0.574122,5.0192
1.48024,0.574346,5.02533
1.48024,0.574151,5.02332
1.48024,0.575002,5.02719
1.48024,0.574014,5.02272
1.48024,0.574701,5.02632
1.48024,0.575003,5.02114
1.48024,0.57472,5.02651
1.48024,0.574281,5.02312
1.48024,0.576437,5.02861
1.48024,0.574382,5.01957
1.48024,0.574298,5.02375
1.48024,0.574446,5.02063
1.53945,0.568873,5.02709
1.53945,0.569284,5.02365
1.53945,0.56901,5.02807
1.53945,0.567525,5.02242
1.53945,0.569037,5.02587
1.53945,0.56884,5.02008
1.53945,0.568183,5.02249
1.53945,0.569036,5.0266
1.53945,0.568245,5.02247
1.53945,0.569072,5.0206
1.53945,0.5681,5.02036
1.53945,0.567928,5.02221
1.53945,0.569587,5.02938
1.53945,0.569566,5.02665
1.53945,0.568435,5.0146
1.60103,0.562671,5.02199
1.60103,0.563346,5.02183
1.60103,0.563389,5.01943
1.60103,0.563083,5.02347
1.60103,0.562935,5.0225
1.60103,0.562659,5.02116
1.60103,0.562982,5.02158
1.60103,0.563386,5.02522
1.60103,0.563074,5.02654
1.60103,0.563686,5.0249
1.60103,0.563205,5.0227
1.60103,0.562577,5.02817
1.60103,0.563473,5.02255
1.60103,0.563733,5.0224
1.60103,0.562817,5.0233
1.66507,0.556438,5.02093
1.66507,0.556262,5.02352
1.66507,0.557237,5.02341
1.66507,0.557488,5.03021
1.66507,0.557599,5.02918
1.66507,0.556633,5.02721
1.66507,0.556649,5.02575
1.66507,0.558321,5.03196
1.66507,0.556946,5.02614
1.66507,0.556696,5.02809
1.66507,0.556372,5.01868
1.66507,0.556406,5.0258
1.66507,0.556983,5.02686
1.66507,0.556523,5.02301
1.66507,0.556929,5.02273
1.73168,0.549704,5.02444
1.73168,0.550487,5.0202
1.73168,0.551045,5.0291
1.73168,0.551182,5.02279
1.73168,0.551461,5.02853
1.73168,0.551053,5.02277
