# Start of simulation: Sun Mar 20 20:29:19 2016
beta,acc,obs
1,0.62878,5.01583
1,0.628505,5.01195
1,0.628144,5.0107
1,0.62883,5.01061
1,0.628988,5.01476
1,0.628682,5.01789
1,0.629093,5.01638
1,0.62947,5.01551
1,0.629122,5.01565
1,0.62839,5.01777
1,0.628372,5.01177
1,0.629117,5.01264
1,0.628588,5.01224
1,0.628473,5.01245
1,0.62906,5.01316
1.04,0.623103,5.01765
1.04,0.623894,5.01108
1.04,0.624279,5.01544
1.04,0.622802,5.01732
1.04,0.623569,5.01586
1.04,0.624066,5.01121
1.04,0.622959,5.01265
1.04,0.622816,5.01459
1.04,0.6237,5.01625
1.04,0.623837,5.01343
1.04,0.623018,5.01608
1.04,0.623613,5.01871
1.04,0.62335,5.01359
1.04,0.623524,5.01709
1.04,0.623369,5.01969
1.0816,0.618601,5.01357
1.0816,0.618104,5.01759
1.0816,0.618332,5.0186
1.0816,0.617933,5.01343
1.0816,0.617999,5.01537
1.0816,0.618873,5.02082
1.0816,0.618097,5.01354
1.0816,0.618626,5.0164
1.0816,0.617816,5.01643
1.0816,0.618165,5.01689
1.0816,0.618755,5.02019
1.0816,0.617827,5.01707
1.0816,0.61774,5.01481
1.0816,0.617571,5.01666
1.0816,0.617041,5.01442
1.12486,0.613152,5.01877
1.12486,0.613867,5.01499
1.12486,0.612699,5.01927
1.12486,0.613049,5.01893
1.12486,0.613686,5.01968
1.12486,0.613668,5.02107
1.12486,0.612072,5.0193
1.12486,0.612114,5.01344
1.12486,0.613483,5.01357
1.12486,0.61318,5.01511
1.12486,0.612861,5.01932
1.12486,0.613275,5.01913
1.12486,0.613752,5.0159
1.12486,0.613291,5.02443
1.12486,0.613225,5.01941
1.16986,0.60838,5.02014
1.16986,0.606805,5.01469
1.16986,0.607531,5.01107
1.16986,0.607468,5.02139
1.16986,0.607289,5.02303
1.16986,0.608065,5.0172
1.16986,0.608735,5.02202
1.16986,0.607241,5.01696
1.16986,0.607945,5.01712
1.16986,0.606934,5.01904
1.16986,0.608616,5.02083
1.16986,0.6072,5.01828
1.16986,0.606878,5.01488
1.16986,0.608127,5.02124
1.16986,0.608693,5.02434
1.21665,0.602797,5.02502
1.21665,0.601597,5.02298
1.21665,0.60246,5.02427
1.21665,0.601364,5.01304
1.21665,0.603114,5.0237
1.21665,0.602663,5.02164
1.21665,0.602976,5.01724
1.21665,0.603121,5.02
1.21665,0.60322,5.01957
1.21665,0.60232,5.02084
1.21665,0.602265,5.0189
1.21665,0.6034,5.02128
1.21665,0.602113,5.01553
1.21665,0.602416,5.01974
1.21665,0.602361,5.01542
