# Start of simulation: Thu Mar 24 17:21:12 2016
beta,acc,obs
0.1,0.466105,3.22457
0.1,0.46859,3.22779
0.1,0.467155,3.22613
0.1,0.46807,3.22921
0.1,0.46731,3.22269
0.1,0.46683,3.22448
0.1,0.46766,3.22583
0.1,0.469745,3.22366
0.1,0.46593,3.221
0.1,0.46978,3.22357
0.1,0.46672,3.22345
0.1,0.46821,3.22623
0.1,0.464985,3.22095
0.1,0.46573,3.22755
0.1,0.469775,3.22491
0.104,0.463885,3.2257
0.104,0.46567,3.22874
0.104,0.466165,3.22889
0.104,0.465185,3.22883
0.104,0.466375,3.22679
0.104,0.467095,3.22578
0.104,0.4652,3.22369
0.104,0.464695,3.2277
0.104,0.46509,3.22944
0.104,0.464295,3.22979
0.104,0.462955,3.22668
0.104,0.464615,3.22527
0.104,0.465655,3.2225
0.104,0.46438,3.22557
0.104,0.465965,3.22691
0.10816,0.460155,3.22399
0.10816,0.460945,3.22273
0.10816,0.465,3.22715
0.10816,0.46361,3.23062
0.10816,0.46288,3.22821
0.10816,0.46289,3.22621
0.10816,0.461515,3.22627
0.10816,0.462395,3.22643
0.10816,0.46166,3.22619
0.10816,0.46047,3.22352
0.10816,0.46249,3.22588
0.10816,0.46259,3.22651
0.10816,0.46164,3.22989
0.10816,0.463545,3.22374
0.10816,0.46253,3.22558
0.112486,0.46038,3.2267
0.112486,0.45823,3.22507
0.112486,0.460765,3.2238
0.112486,0.45804,3.21673
0.112486,0.459465,3.2306
0.112486,0.458855,3.22879
0.112486,0.45725,3.22041
0.112486,0.459845,3.22362
0.112486,0.45931,3.22993
0.112486,0.46052,3.22689
0.112486,0.459365,3.22295
0.112486,0.459705,3.225
0.112486,0.459535,3.22742
0.112486,0.45926,3.2265
0.112486,0.459275,3.22517
0.116986,0.457745,3.22781
0.116986,0.455775,3.22822
0.116986,0.45712,3.22478
0.116986,0.455735,3.22871
0.116986,0.457165,3.23031
0.116986,0.454855,3.22739
0.116986,0.45523,3.22926
0.116986,0.458525,3.23125
0.116986,0.45613,3.22982
0.116986,0.457915,3.23044
0.116986,0.459205,3.23001
0.116986,0.458235,3.22996
0.116986,0.45559,3.22968
0.116986,0.461045,3.22775
0.116986,0.457825,3.2278
0.121665,0.45308,3.22742
0.121665,0.45442,3.23006
0.121665,0.452645,3.2286
0.121665,0.456515,3.22771
0.121665,0.45302,3.23201
0.121665,0.45432,3.22534
0.121665,0.45575,3.23259
0.121665,0.454215,3.22907
0.121665,0.453355,3.22907
0.121665,0.451715,3.23233
0.121665,0.45364,3.22676
0.121665,0.45655,3.2311
0.121665,0.45281,3.22656
0.121665,0.454505,3.22914
0.121665,0.453295,3.2303
0.126532,0.452905,3.2328
0.126532,0.451645,3.22845
0.126532,0.45064,3.23013
0.126532,0.452895,3.23197
0.126532,0.450885,3.22523
0.126532,0.449495,3.22923
0.126532,0.4509,3.23295
0.126532,0.45028,3.22906
0.126532,0.4504,3.22479
0.126532,0.45284,3.22764
0.126532,0.45014,3.2283
0.126532,0.45076,3.22591
0.126532,0.451595,3.22933
0.126532,0.45111,3.23295
0.126532,0.451145,3.22904
0.131593,0.44769,3.23329
0.131593,0.447955,3.23553
0.131593,0.44877,3.22752
0.131593,0.44846,3.22939
0.131593,0.449475,3.22855
0.131593,0.44887,3.23117
0.131593,0.44772,3.23033
0.131593,0.44742,3.22948
0.131593,0.447935,3.22848
0.131593,0.44779,3.22626
0.131593,0.448365,3.2322
0.131593,0.449455,3.23194
0.131593,0.447745,3.23328
0.131593,0.450345,3.23404
0.131593,0.447555,3.22639
0.136857,0.44452,3.23574
0.136857,0.446985,3.2325
0.136857,0.44648,3.23332
0.136857,0.445875,3.22961
0.136857,0.44516,3.23226
0.136857,0.445,3.22841
0.136857,0.447105,3.23386
0.136857,0.4474,3.23054
0.136857,0.445895,3.23544
0.136857,0.44499,3.23584
0.136857,0.44642,3.23434
0.136857,0.44732,3.23268
0.136857,0.445365,3.22846
0.136857,0.44638,3.23192
0.136857,0.446005,3.23093
0.142331,0.44528,3.23888
0.142331,0.44126,3.22964
0.142331,0.44151,3.22895
0.142331,0.442705,3.23502
0.142331,0.43957,3.22639
0.142331,0.443155,3.2331
0.142331,0.442955,3.23027
0.142331,0.442035,3.23274
0.142331,0.44206,3.23131
0.142331,0.445705,3.23238
0.142331,0.44255,3.22562
0.142331,0.44488,3.23209
0.142331,0.443315,3.2336
